id,postcode,locality,state,long,lat
230,200,Anu,ACT,149.119,-35.2777
21820,200,Australian National University,ACT,149.1189,-35.2777
232,800,Darwin,NT,130.83668,-12.458684
24049,800,Darwin City,NT,130.83668,-12.458684
233,801,Darwin,NT,130.83668,-12.458684
234,804,Parap,NT,130.873315,-12.428017
235,810,Alawa,NT,130.866242,-12.381806
236,810,Brinkin,NT,130.866242,-12.381806
237,810,Casuarina,NT,130.866242,-12.381806
19972,810,Coconut Grove,NT,130.8502369,-12.39614166
239,810,Jingili,NT,130.866242,-12.381806
240,810,Lee Point,NT,130.866242,-12.381806
19973,810,Lyons,NT,130.8885151,-12.35911956
241,810,Millner,NT,130.866242,-12.381806
242,810,Moil,NT,130.866242,-12.381806
19974,810,Muirhead,NT,130.8959029,-12.35811947
243,810,Nakara,NT,130.866242,-12.381806
244,810,Nightcliff,NT,130.866242,-12.381806
245,810,Rapid Creek,NT,130.866242,-12.381806
246,810,Tiwi,NT,130.866242,-12.381806
247,810,Wagaman,NT,130.866242,-12.381806
248,810,Wanguri,NT,130.866242,-12.381806
249,811,Casuarina,NT,130.866242,-12.381806
19975,812,Anula,NT,130.89047,-12.39124885
19976,812,Buffalo Creek,NT,130.9209831,-12.34638634
19977,812,Holmes,NT,130.9268602,-12.38479951
251,812,Karama,NT,130.916098,-12.404778
252,812,Leanyer,NT,130.916098,-12.404778
253,812,Malak,NT,130.916098,-12.404778
254,812,Marrara,NT,130.916098,-12.404778
255,812,Northlakes,NT,130.916098,-12.404778
256,812,Sanderson,NT,130.916098,-12.404778
257,812,Woodleigh Gardens,NT,130.916098,-12.404778
258,812,Wulagi,NT,130.916098,-12.404778
259,813,Sanderson,NT,130.916098,-12.404778
260,814,Nightcliff,NT,130.866242,-12.381806
261,815,Charles Darwin University,NT,130.869,-12.3718
262,820,Bagot,NT,130.873315,-12.428017
263,820,Bayview,NT,130.873315,-12.428017
264,820,Charles Darwin,NT,130.873315,-12.428017
265,820,Coonawarra,NT,130.873315,-12.428017
266,820,Cullen Bay,NT,130.873315,-12.428017
19978,820,Darwin Dc,NT,130.8664593,-12.4255956
268,820,Darwin International Airport,NT,130.873315,-12.428017
269,820,Darwin Mc,NT,130.873315,-12.428017
270,820,East Point,NT,130.873315,-12.428017
19979,820,Eaton,NT,130.880692,-12.4123871
271,820,Fannie Bay,NT,130.873315,-12.428017
272,820,Larrakeyah,NT,130.873315,-12.428017
273,820,Ludmilla,NT,130.873315,-12.428017
274,820,Parap,NT,130.873315,-12.428017
275,820,Raaf Base Darwin,NT,130.873315,-12.428017
276,820,Stuart Park,NT,130.873315,-12.428017
277,820,The Gardens,NT,130.873315,-12.428017
278,820,The Narrows,NT,130.873315,-12.428017
279,820,Winnellie,NT,130.873315,-12.428017
280,820,Woolner,NT,130.873315,-12.428017
281,821,Winnellie,NT,136.947051,-13.643283
282,822,Acacia Hills,NT,136.947051,-13.643283
19980,822,Angurugu,NT,136.4612078,-13.98119125
19981,822,Anindilyakwa,NT,136.5909616,-13.91698485
19982,822,Annie River,NT,133.3848319,-12.9305044
19983,822,Bathurst Island,NT,130.3496894,-11.6035121
286,822,Bees Creek,NT,136.947051,-13.643283
19984,822,Belyuen,NT,130.6831805,-12.53818467
19985,822,Black Jungle,NT,131.1942977,-12.50224007
19986,822,Blackmore,NT,130.9175773,-12.68983104
287,822,Border Store,NT,136.947051,-13.643283
19987,822,Burrundie,NT,131.8449886,-13.50171859
19988,822,Bynoe,NT,130.6320309,-12.79290292
19989,822,Bynoe Harbour,NT,130.5103483,-12.62538633
19990,822,Camp Creek,NT,130.9320173,-13.17350435
19991,822,Channel Island,NT,130.8605303,-12.55219169
19992,822,Charles Darwin,NT,130.8766339,-12.45079537
19993,822,Charlotte,NT,130.8116588,-12.84045347
19994,822,Claravale,NT,131.4120025,-14.5318367
19995,822,Cobourg,NT,132.1914189,-11.34530652
19996,822,Collett Creek,NT,130.9188279,-12.90975469
19997,822,Coomalie Creek,NT,131.1688363,-13.02119253
288,822,Cox Peninsula,NT,136.947051,-13.643283
289,822,Croker Island,NT,136.947051,-13.643283
290,822,Daly River,NT,136.947051,-13.643283
291,822,Darwin Mc,NT,136.947051,-13.643283
19998,822,Darwin River Dam,NT,131.038648,-12.91652424
19999,822,Delissaville,NT,130.995425,-12.505532
20000,822,Douglas-Daly,NT,131.48274,-13.81785615
20001,822,East Arm,NT,130.9027533,-12.48005564
20002,822,East Arnhem,NT,136.4330338,-12.44602304
20003,822,Elrundie,NT,130.940905,-12.48861681
20004,822,Eva Valley,NT,131.0031474,-13.12725377
20005,822,Finniss Valley,NT,130.9517827,-13.06448685
23937,822,Fleming,NT,131.2975161,-13.85090799
20006,822,Fly Creek,NT,131.0700157,-12.79587253
20007,822,Freds Pass,NT,131.0515258,-12.53862952
20008,822,Galiwinku,NT,135.5864427,-12.00777086
20009,822,Glyde Point,NT,131.0799794,-12.17971082
295,822,Goulbourn Island,NT,136.947051,-13.643283
20010,822,Goulburn Island,NT,133.4548484,-11.4973068
20011,822,Gunbalanya,NT,133.0492311,-12.34692447
296,822,Gunn Point,NT,136.947051,-13.643283
297,822,Hayes Creek,NT,136.947051,-13.643283
20012,822,Hidden Valley,NT,130.9036719,-12.45024526
20013,822,Hotham,NT,131.4058522,-12.34404225
20014,822,Hughes,NT,131.1007772,-12.68638471
20015,822,Kakadu,NT,132.4751149,-12.8662473
20016,822,Koolpinyah,NT,131.2102168,-12.37090569
20017,822,Lake Bennett,NT,131.1944707,-12.93083352
299,822,Lambells Lagoon,NT,136.947051,-13.643283
20018,822,Litchfield Park,NT,130.8462398,-13.25317338
300,822,Livingstone,NT,136.947051,-13.643283
20019,822,Lloyd Creek,NT,131.1457668,-12.66634037
20020,822,Mandorah,NT,130.7615787,-12.44295777
301,822,Maningrida,NT,136.947051,-13.643283
20021,822,Maranunga,NT,130.7085705,-13.70834554
20022,822,Margaret River,NT,131.3574052,-13.19932137
302,822,Mcminns Lagoon,NT,136.947051,-13.643283
20023,822,Mickett Creek,NT,130.951697,-12.379529
303,822,Middle Point,NT,136.947051,-13.643283
20024,822,Milingimbi,NT,134.9172943,-12.10344037
305,822,Millwood,NT,136.947051,-13.643283
20025,822,Milyakburra,NT,136.202001,-13.77934879
20026,822,Minjilang,NT,132.5724813,-11.14470594
20027,822,Mount Bundey,NT,131.751956,-13.02955913
20028,822,Murrumujuk,NT,131.0779057,-12.29096291
20029,822,Nauiyu,NT,130.7310542,-13.72157548
20030,822,Nemarluk,NT,130.4543865,-14.62289167
20031,822,Nganmarriyanga,NT,129.8834932,-14.33497868
307,822,Nguiu,NT,136.947051,-13.643283
20032,822,Numbulwar,NT,135.727696,-14.28113146
20033,822,Numburindi,NT,135.7946389,-13.95994028
308,822,Oenpelli,NT,136.947051,-13.643283
20034,822,Peppimenarti,NT,130.082796,-14.1456977
20035,822,Pirlangimpi,NT,130.4214678,-11.39026066
309,822,Point Stephens,NT,136.947051,-13.643283
20036,822,Point Stuart,NT,131.8321645,-12.54034189
310,822,Pularumpi,NT,136.947051,-13.643283
311,822,Pulumpa,NT,136.947051,-13.643283
20037,822,Rakula,NT,130.3707089,-13.05159634
20038,822,Ramingining,NT,134.9259152,-12.32899612
20039,822,Robin Falls,NT,131.1214742,-13.38650542
20040,822,Rum Jungle,NT,131.0198663,-12.99988524
20041,822,Sandpalms Roadhouse,NT,133.3848319,-12.9305044
313,822,Southport,NT,136.947051,-13.643283
20042,822,Stapleton,NT,131.0258358,-13.18414806
20043,822,Thamarrurr,NT,129.6399677,-14.20132457
20044,822,Tipperary,NT,130.619275,-14.03882235
20045,822,Tivendale,NT,130.9502272,-12.46528731
20046,822,Tiwi Islands,NT,131.1875059,-11.51399925
20047,822,Tortilla Flats,NT,131.1778852,-13.08686447
20048,822,Tumbling Waters,NT,130.9609622,-12.75687265
315,822,Umbakumba,NT,136.947051,-13.643283
20049,822,Vernon Islands,NT,131.0936969,-12.05953061
316,822,Virginia,NT,136.947051,-13.643283
317,822,Wadeye,NT,136.947051,-13.643283
318,822,Wagait Beach,NT,136.947051,-13.643283
20050,822,Wak Wak,NT,131.236971,-12.66325075
20051,822,Warruwi,NT,133.3782542,-11.65786276
319,822,Weddell,NT,136.947051,-13.643283
20052,822,West Arnhem,NT,133.6471255,-12.25508592
20053,822,Wickham,NT,130.9100115,-12.54731927
320,822,Winnellie,NT,136.947051,-13.643283
20054,822,Wishart,NT,130.9321025,-12.45712713
321,822,Woolaning,NT,136.947051,-13.643283
20055,822,Wurrumiyanga,NT,130.6254299,-11.75841975
322,828,Berrimah,NT,130.932068,-12.432024
323,828,Knuckey Lagoon,NT,130.932068,-12.432024
24048,829,Holtze,NT,130.9597671,-12.45763297
20056,829,Pinelands,NT,130.9597671,-12.45763297
20057,830,Archer,NT,130.9580765,-12.52139649
326,830,Driver,NT,130.974879,-12.475071
327,830,Durack,NT,130.974879,-12.475071
328,830,Farrar,NT,130.974879,-12.475071
329,830,Gray,NT,130.974879,-12.475071
330,830,Marlow Lagoon,NT,130.974879,-12.475071
331,830,Moulden,NT,130.974879,-12.475071
332,830,Palmerston,NT,130.974879,-12.475071
333,830,Shoal Bay,NT,130.974879,-12.475071
334,830,Woodroffe,NT,130.974879,-12.475071
335,830,Yarrawonga,NT,130.974879,-12.475071
336,831,Palmerston,NT,130.974879,-12.475071
20058,832,Bakewell,NT,130.9936551,-12.49684676
20059,832,Bellamack,NT,130.9830307,-12.51562954
339,832,Gunn,NT,130.957712,-12.502817
20060,832,Johnston,NT,131.0063506,-12.49297483
340,832,Mitchell,NT,130.957712,-12.502817
341,832,Rosebery,NT,130.957712,-12.502817
342,832,Rosebery Heights,NT,130.957712,-12.502817
20061,832,Zuccoli,NT,131.0058233,-12.51070433
20062,834,Virginia,NT,131.0234875,-12.54686461
21821,835,Coolalinga,NT,131.0415,-12.5231
343,835,Howard Springs,NT,131.013741,-12.452568
344,835,Virginia,NT,131.013741,-12.452568
345,836,Herbert,NT,131.100668,-12.557754
20063,836,Humpty Doo,NT,131.1272564,-12.58487247
347,837,Manton,NT,131.016647,-12.704767
20064,837,Noonamah,NT,131.094044,-12.64187171
349,838,Berry Springs,NT,131.0067348,-12.71878122
20065,839,Coolalinga,NT,131.0402017,-12.52001124
350,840,Dundee Beach,NT,130.3529386,-12.72451307
351,840,Dundee Downs,NT,130.5109414,-12.76554875
352,840,Dundee Forest,NT,130.4518371,-12.71366907
353,841,Darwin River,NT,130.969862,-12.81922863
