amenity,denomination,name,religion,id,lon,lat
place_of_worship,Anglican,St Barnabas Glen Waverley Anglican Church,Christian,4463645,145.1713460875,-37.890783275
place_of_worship,Baptist,Syndal Baptist Church,Christian,8746568,145.14881390909088,-37.872698718181816
place_of_worship,Anglican,Saint Paul'S Cathedral,Christian,13127644,144.96752763809525,-37.81675311904761
place_of_worship,Lutheran,Saint Johns Southgate,Christian,15477564,144.9670328730769,-37.82070101923077
place_of_worship,Catholic,St Mary'S Cathedral,Christian,16749128,151.21342534374998,-33.871165146875
place_of_worship,Baptist,Collins Street Baptist Church,Christian,17037615,144.96773882222226,-37.814823277777776
place_of_worship,Presbyterian,Scots Church,Christian,17037928,144.96848203157896,-37.814471215789474
place_of_worship,Catholic,Regina Caeli,Christian,18535650,153.07325983333334,-27.49978076
place_of_worship,Catholic,Saint Josephs Catholic,Christian,19853684,149.12427338965517,-35.259255534482755
place_of_worship,Roman Catholic,Holy Family Catholic Church,Christian,20547454,145.1298403,-37.87375988
place_of_worship,Catholic,St Vincent De Paul,Christian,22758271,149.07749951428573,-35.255203
place_of_worship,Uniting,Saint Michaels Uniting Church,Christian,22931009,144.96917353999999,-37.814339919999995
place_of_worship,Unknown,Baha'I Temple,Bahai,23027409,151.25871420476193,-33.685445599999994
place_of_worship,Catholic,St. Dominics East Camberwell,Christian,23074041,145.08303304999998,-37.83491239000001
place_of_worship,Catholic,St Michael'S,Christian,23087564,149.11061303076923,-35.223186807692315
place_of_worship,Mormon,The Church Of Jesus Christ Of Latter-Day Saints,Christian,23242085,151.05028685833332,-33.774078583333335
place_of_worship,Anglican,St Paul'S Anglican Church Carlingford,Christian,23242086,151.04822132,-33.77594512
place_of_worship,Seventh Day Adventist,Wahroonga Seventh-Day Adventist,Christian,23646548,151.10067112857143,-33.73267792857142
place_of_worship,Anglican,Saint David'S Anglican Church,Christian,24340582,152.97354662857146,-27.514117071428576
place_of_worship,Unknown,Grace Church Of Christ,Christian,25057306,145.21693869444445,-37.852920555555556
