m_cambodia_15_24_yrs, m_canada_45_54_yrs, m_iran_45_54_yrs, m_indonesia_25_44_yrs, m_fiji_55_64_yrs, m_iran_5_14_yrs, m_india_85_yrs_ov, m_cambodia_5_14_yrs, m_bosnia_herzegov_25_44_yrs, m_croatia_55_64_yrs, m_england_5_14_yrs, m_germany_5_14_yrs, m_indonesia_55_64_yrs, m_iran_55_64_yrs, m_india_25_44_yrs, m_afghanistan_65_74_yrs, m_egypt_tot, m_germany_15_24_yrs, m_indonesia_0_4_yrs, m_chile_15_24_yrs, m_iran_25_44_yrs, m_australia_0_4_yrs, m_bosnia_herzegov_5_14_yrs, m_hong_kong_85_yrs_ov, m_china_tot, m_bangladesh_55_64_yrs, m_germany_55_64_yrs, m_australia_85_yrs_ov, m_greece_75_84_yrs, m_egypt_5_14_yrs, lga_code_2016, m_england_85_yrs_ov, m_croatia_tot, m_canada_75_84_yrs, m_india_0_4_yrs, m_egypt_75_84_yrs, m_indonesia_45_54_yrs, m_fiji_15_24_yrs, m_croatia_45_54_yrs, m_bosnia_herzegov_75_84_yrs, m_iraq_85_yrs_ov, m_india_75_84_yrs, m_croatia_25_44_yrs, m_bangladesh_85_yrs_ov, m_iraq_65_74_yrs, m_india_65_74_yrs, m_england_0_4_yrs, m_chile_75_84_yrs, m_egypt_15_24_yrs, m_england_15_24_yrs, m_indonesia_75_84_yrs, m_india_15_24_yrs, m_egypt_25_44_yrs, m_hong_kong_5_14_yrs, m_greece_25_44_yrs, m_canada_tot, m_iraq_tot, m_germany_0_4_yrs, m_greece_15_24_yrs, m_china_45_54_yrs, m_canada_85_yrs_ov, m_croatia_5_14_yrs, m_bosnia_herzegov_65_74_yrs, m_greece_5_14_yrs, m_fiji_45_54_yrs, m_hong_kong_tot, m_france_5_14_yrs, m_croatia_85_yrs_ov, m_england_55_64_yrs, m_bangladesh_25_44_yrs, m_france_25_44_yrs, m_france_tot, m_iran_65_74_yrs, m_chile_55_64_yrs, m_fiji_0_4_yrs, m_hong_kong_65_74_yrs, m_afghanistan_tot, m_england_65_74_yrs, m_afghanistan_75_84_yrs, m_hong_kong_55_64_yrs, m_australia_55_64_yrs, m_australia_45_54_yrs, m_france_85_yrs_ov, m_chile_65_74_yrs, m_bosnia_herzegov_15_24_yrs, m_china_15_24_yrs, m_india_45_54_yrs, m_bosnia_herzegov_85_yrs_ov, m_afghanistan_0_4_yrs, m_indonesia_85_yrs_ov, m_china_75_84_yrs, m_australia_25_44_yrs, m_chile_tot, m_indonesia_65_74_yrs, m_greece_0_4_yrs, m_afghanistan_55_64_yrs, m_iraq_75_84_yrs, m_iran_tot, m_indonesia_tot, m_egypt_45_54_yrs, m_france_0_4_yrs, m_cambodia_85_yrs_ov, m_bosnia_herzegov_45_54_yrs, m_china_25_44_yrs, m_egypt_55_64_yrs, m_china_85_yrs_ov, m_canada_55_64_yrs, m_chile_0_4_yrs, m_bosnia_herzegov_tot, m_indonesia_15_24_yrs, m_indonesia_5_14_yrs, m_china_65_74_yrs, m_chile_85_yrs_ov, m_egypt_65_74_yrs, m_china_5_14_yrs, m_france_45_54_yrs, m_greece_85_yrs_ov, m_cambodia_25_44_yrs, m_hong_kong_45_54_yrs, m_afghanistan_5_14_yrs, m_iraq_45_54_yrs, m_bosnia_herzegov_0_4_yrs, m_india_5_14_yrs, m_iraq_15_24_yrs, m_australia_65_74_yrs, m_fiji_85_yrs_ov, m_iran_85_yrs_ov, m_afghanistan_15_24_yrs, m_croatia_0_4_yrs, m_germany_25_44_yrs, m_greece_tot, m_hong_kong_75_84_yrs, m_chile_45_54_yrs, m_cambodia_65_74_yrs, m_fiji_65_74_yrs, m_china_0_4_yrs, m_chile_5_14_yrs, m_germany_85_yrs_ov, m_canada_25_44_yrs, m_bangladesh_15_24_yrs, m_afghanistan_25_44_yrs, m_germany_45_54_yrs, m_germany_65_74_yrs, m_england_tot, m_fiji_tot, m_iran_0_4_yrs, m_france_15_24_yrs, m_hong_kong_15_24_yrs, m_iran_15_24_yrs, m_bangladesh_0_4_yrs, m_hong_kong_0_4_yrs, m_bangladesh_75_84_yrs, m_germany_75_84_yrs, m_greece_45_54_yrs, m_france_65_74_yrs, m_england_45_54_yrs, m_iraq_5_14_yrs, m_england_25_44_yrs, m_cambodia_55_64_yrs, m_australia_tot, m_iran_75_84_yrs, m_bosnia_herzegov_55_64_yrs, m_fiji_75_84_yrs, m_cambodia_0_4_yrs, m_bangladesh_65_74_yrs, m_afghanistan_85_yrs_ov, m_canada_65_74_yrs, m_australia_5_14_yrs, m_egypt_0_4_yrs, m_bangladesh_45_54_yrs, m_bangladesh_5_14_yrs, m_canada_5_14_yrs, lga_name_2016, m_croatia_75_84_yrs, m_france_55_64_yrs, m_croatia_65_74_yrs, m_canada_15_24_yrs, m_hong_kong_25_44_yrs, m_chile_25_44_yrs, m_china_55_64_yrs, m_cambodia_45_54_yrs, m_australia_75_84_yrs, m_egypt_85_yrs_ov, m_fiji_25_44_yrs, m_fiji_5_14_yrs, m_iraq_25_44_yrs, m_england_75_84_yrs, m_india_55_64_yrs, m_australia_15_24_yrs, m_iraq_0_4_yrs, m_germany_tot, m_canada_0_4_yrs, m_cambodia_tot, m_cambodia_75_84_yrs, m_greece_55_64_yrs, m_croatia_15_24_yrs, m_iraq_55_64_yrs, m_bangladesh_tot, m_afghanistan_45_54_yrs, m_india_tot, m_france_75_84_yrs, m_greece_65_74_yrs
0,6,3,0,4,3,0,0,0,6,11,0,0,0,215,0,13,0,0,0,3,1585,0,0,49,0,19,335,7,3,"10050",27,24,0,6,0,0,0,0,0,0,3,0,0,0,5,0,0,0,21,0,10,5,3,3,29,0,0,0,8,0,0,0,0,6,16,0,0,94,36,7,6,0,0,0,0,8,113,0,5,2447,2504,0,0,0,5,14,0,0,0,0,4864,4,0,0,0,0,14,3,0,0,0,0,23,3,0,6,0,3,0,0,3,0,0,3,3,5,4,3,0,0,0,30,0,1704,0,0,4,0,7,32,0,3,0,0,0,0,7,12,0,0,6,54,504,24,0,0,0,0,0,0,0,19,4,0,108,0,77,0,20071,0,0,0,0,0,0,3,2857,0,4,3,0,"Albury (C)",8,0,12,0,3,0,4,0,886,0,11,0,0,52,9,2886,0,120,0,3,0,3,0,0,43,0,290,0,12
0,4,6,3,6,0,0,0,0,0,9,3,0,0,60,0,0,7,0,0,11,766,0,0,144,0,11,168,0,0,"10130",6,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,23,0,7,0,0,0,26,50,0,0,12,0,0,0,0,3,9,0,0,52,20,3,10,3,0,0,0,0,84,0,0,1372,1376,0,0,0,80,8,0,0,3,0,2310,3,0,0,0,0,21,13,0,0,0,0,48,0,0,6,0,0,0,0,3,0,0,3,3,0,0,0,0,7,0,3,0,1025,0,0,0,0,0,7,0,4,0,0,0,0,3,8,0,0,12,3,300,17,0,0,4,5,0,0,0,3,0,0,44,8,28,0,11302,0,0,0,0,0,0,3,1610,0,3,3,0,"Armidale Regional (A)",0,4,0,3,5,0,0,0,531,0,7,0,26,42,4,2141,7,41,0,0,0,0,0,0,25,0,87,0,0
0,7,3,7,6,0,0,0,0,0,32,0,3,3,38,0,5,3,0,0,0,997,0,0,19,0,6,474,0,0,"10250",32,6,3,0,0,0,0,0,0,0,6,0,0,0,3,3,0,0,22,0,6,0,3,0,50,0,0,0,0,0,0,0,0,0,9,0,0,113,0,10,16,0,0,0,0,0,165,0,5,2421,2144,0,0,0,3,3,0,0,0,0,3203,12,3,0,0,0,11,12,0,0,0,0,6,3,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,2041,0,0,0,0,11,3,0,7,0,0,0,0,3,14,0,0,5,28,694,20,0,0,0,0,0,0,0,11,0,3,113,0,87,0,16436,0,0,0,0,0,0,8,2311,0,0,0,0,"Ballina (A)",3,4,0,3,3,4,3,0,1049,0,9,0,0,114,0,1802,0,64,0,0,0,0,0,0,0,0,62,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,3,0,0,10,0,0,"10300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,151,122,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,0,0,0,0,0,0,0,153,0,0,0,0,"Balranald (A)",0,0,0,0,0,0,0,0,37,0,3,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,3,0,0
0,4,0,3,6,0,0,0,0,4,8,0,0,0,62,0,19,0,0,0,6,1254,0,0,61,5,4,205,0,0,"10470",14,12,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,7,27,4,3,5,7,0,25,14,0,0,7,0,0,0,0,5,13,0,0,83,13,6,12,0,0,0,0,8,114,0,0,2000,2090,0,3,0,13,9,0,0,0,0,4371,9,0,0,0,0,11,4,0,0,0,0,28,0,0,4,0,4,0,0,6,0,0,3,3,0,3,0,3,3,0,5,3,1415,0,0,0,0,3,12,0,3,0,0,0,0,0,8,0,0,9,25,408,29,0,0,6,0,0,0,0,4,0,0,56,0,47,0,17332,0,0,0,0,0,0,3,2668,0,0,3,3,"Bathurst Regional (A)",3,4,3,0,3,3,11,0,630,0,11,3,3,59,3,2691,0,50,0,3,0,3,0,0,22,0,93,0,5
0,4,0,0,0,0,0,0,0,0,11,0,0,0,9,0,10,0,0,0,0,703,0,0,11,0,26,249,0,0,"10550",33,8,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,6,3,0,0,0,0,28,0,0,0,6,0,0,0,0,0,3,0,0,181,0,0,13,0,0,0,0,0,243,0,3,2291,1735,4,3,0,0,7,0,0,3,3,2226,7,3,0,0,0,4,10,0,0,0,0,3,3,0,7,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,1778,0,0,0,0,3,9,0,0,0,0,0,0,5,4,0,0,12,42,713,5,0,0,0,0,0,0,0,27,0,3,85,0,41,0,12969,0,0,0,0,0,0,7,1779,0,0,0,4,"Bega Valley (A)",3,0,4,0,0,0,0,0,813,0,0,0,0,115,0,1385,0,112,0,0,0,0,0,0,0,0,22,0,7
0,0,0,0,3,0,0,0,0,0,5,3,0,0,9,0,3,0,0,0,0,283,0,0,0,0,16,105,0,0,"10600",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,57,0,0,10,0,0,0,0,0,79,0,3,838,621,0,0,0,0,0,0,0,0,0,902,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,289,6,0,0,0,0,0,0,0,3,0,5,53,0,30,0,4948,0,0,0,0,0,0,3,712,0,0,0,0,"Bellingen (A)",0,4,0,0,0,0,0,0,325,0,3,0,0,41,3,528,0,38,0,0,0,0,0,0,0,0,13,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,222,0,0,3,0,3,106,0,0,"10650",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,18,0,0,519,361,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,84,0,0,0,0,0,0,0,0,3,0,0,12,0,3,0,3424,0,0,0,0,0,0,0,428,0,0,0,4,"Berrigan (A)",0,0,0,0,0,0,0,0,277,0,3,0,3,21,0,347,0,18,0,0,0,0,0,0,0,0,15,0,0
3,24,129,262,531,41,32,0,86,92,112,12,95,105,8017,53,996,24,0,8,377,12444,0,0,2085,139,49,419,71,75,"10750",73,473,0,138,68,119,285,76,21,3,163,65,0,41,411,12,19,72,90,25,1569,250,11,26,140,858,0,14,373,0,4,37,9,733,468,6,11,592,741,18,71,50,48,9,42,1205,547,15,140,6241,8628,0,68,15,163,1541,3,5,3,82,21790,325,69,0,126,8,802,657,149,0,0,52,810,188,21,12,3,262,60,26,176,9,165,68,14,17,17,69,40,163,3,799,146,3712,16,0,215,0,45,335,6,72,5,221,17,4,20,53,70,579,60,163,2740,3352,3,0,51,71,14,3,0,71,37,10,579,46,476,12,91390,25,56,90,0,36,3,11,20951,7,167,77,13,"Blacktown (C)",94,14,123,28,135,90,376,15,1470,24,1378,93,337,265,856,15736,5,447,0,54,0,70,8,105,1252,168,13522,0,98
0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,158,0,0,3,0,3,52,0,0,"10800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,7,0,0,367,286,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,2454,0,0,0,0,0,0,0,381,0,0,0,3,"Bland (A)",0,0,0,0,0,0,0,0,151,0,0,0,0,7,0,272,0,3,0,0,0,0,0,0,0,0,6,0,0
