f_indonesia_25_44_yrs, f_korea_south_85_yrs_ov, f_japan_5_14_yrs, f_greece_55_64_yrs, f_fiji_25_44_yrs, f_malta_45_54_yrs, f_hong_kong_tot, f_korea_south_65_74_yrs, f_malaysia_0_4_yrs, f_japan_15_24_yrs, f_japan_85_yrs_ov, f_india_25_44_yrs, f_hong_kong_15_24_yrs, f_malta_75_84_yrs, f_egypt_55_64_yrs, f_fiji_65_74_yrs, f_germany_55_64_yrs, f_india_55_64_yrs, f_hong_kong_55_64_yrs, f_italy_25_44_yrs, f_france_45_54_yrs, f_france_25_44_yrs, f_fiji_15_24_yrs, f_indonesia_tot, f_england_25_44_yrs, f_ireland_85_yrs_ov, f_greece_5_14_yrs, f_lebanon_5_14_yrs, f_croatia_85_yrs_ov, f_indonesia_85_yrs_ov, f_hong_kong_45_54_yrs, f_india_75_84_yrs, f_england_0_4_yrs, f_england_75_84_yrs, lga_code_2016, f_china_75_84_yrs, f_ireland_75_84_yrs, f_korea_south_0_4_yrs, f_egypt_75_84_yrs, f_egypt_85_yrs_ov, f_greece_65_74_yrs, f_croatia_5_14_yrs, f_lebanon_65_74_yrs, f_germany_45_54_yrs, f_china_15_24_yrs, f_malaysia_45_54_yrs, f_italy_tot, f_fiji_tot, f_malaysia_55_64_yrs, f_iraq_25_44_yrs, f_italy_75_84_yrs, f_england_65_74_yrs, f_lebanon_25_44_yrs, f_italy_65_74_yrs, f_china_55_64_yrs, f_italy_15_24_yrs, f_hong_kong_65_74_yrs, f_china_85_yrs_ov, f_egypt_65_74_yrs, f_indonesia_15_24_yrs, f_fiji_5_14_yrs, f_iraq_0_4_yrs, f_england_45_54_yrs, f_lebanon_15_24_yrs, f_fiji_45_54_yrs, f_china_65_74_yrs, f_germany_75_84_yrs, f_iraq_75_84_yrs, f_germany_65_74_yrs, f_france_5_14_yrs, f_iraq_45_54_yrs, f_ireland_65_74_yrs, f_croatia_25_44_yrs, f_egypt_5_14_yrs, f_china_45_54_yrs, f_india_0_4_yrs, f_england_5_14_yrs, f_lebanon_0_4_yrs, f_hong_kong_5_14_yrs, f_france_tot, f_iraq_85_yrs_ov, f_korea_south_25_44_yrs, f_india_5_14_yrs, f_germany_85_yrs_ov, f_indonesia_75_84_yrs, f_china_tot, f_indonesia_5_14_yrs, f_india_tot, f_china_0_4_yrs, f_iran_65_74_yrs, f_fiji_55_64_yrs, f_malta_15_24_yrs, f_indonesia_65_74_yrs, f_lebanon_55_64_yrs, f_malta_85_yrs_ov, f_japan_45_54_yrs, f_germany_0_4_yrs, f_malaysia_65_74_yrs, f_france_65_74_yrs, f_hong_kong_0_4_yrs, f_ireland_0_4_yrs, f_italy_85_yrs_ov, f_japan_55_64_yrs, f_korea_south_55_64_yrs, f_france_0_4_yrs, f_japan_tot, f_lebanon_75_84_yrs, f_egypt_25_44_yrs, f_greece_25_44_yrs, f_croatia_55_64_yrs, f_malta_5_14_yrs, f_iran_55_64_yrs, f_hong_kong_75_84_yrs, f_korea_south_tot, f_iraq_5_14_yrs, f_korea_south_45_54_yrs, f_lebanon_85_yrs_ov, f_greece_tot, f_japan_65_74_yrs, f_china_25_44_yrs, f_malta_65_74_yrs, f_korea_south_5_14_yrs, f_italy_5_14_yrs, f_greece_0_4_yrs, f_germany_5_14_yrs, f_germany_tot, f_greece_85_yrs_ov, f_germany_25_44_yrs, f_italy_45_54_yrs, f_japan_0_4_yrs, f_malta_55_64_yrs, f_iran_tot, f_ireland_5_14_yrs, f_malta_tot, f_iraq_tot, f_hong_kong_25_44_yrs, f_lebanon_45_54_yrs, f_egypt_0_4_yrs, f_italy_0_4_yrs, f_malta_25_44_yrs, f_indonesia_0_4_yrs, f_iran_0_4_yrs, f_croatia_65_74_yrs, f_iran_15_24_yrs, f_malaysia_25_44_yrs, f_india_45_54_yrs, f_ireland_45_54_yrs, f_germany_15_24_yrs, f_hong_kong_85_yrs_ov, f_malaysia_85_yrs_ov, f_japan_25_44_yrs, f_iraq_55_64_yrs, f_malaysia_tot, f_egypt_45_54_yrs, f_india_15_24_yrs, f_china_5_14_yrs, f_indonesia_55_64_yrs, f_france_85_yrs_ov, f_england_tot, f_croatia_15_24_yrs, f_croatia_tot, f_malta_0_4_yrs, f_malaysia_75_84_yrs, f_greece_45_54_yrs, f_egypt_tot, f_iran_5_14_yrs, f_england_85_yrs_ov, f_japan_75_84_yrs, f_ireland_tot, f_fiji_75_84_yrs, f_india_65_74_yrs, f_iraq_65_74_yrs, f_ireland_15_24_yrs, f_india_85_yrs_ov, f_ireland_25_44_yrs, lga_name_2016, f_iran_25_44_yrs, f_croatia_45_54_yrs, f_croatia_75_84_yrs, f_england_15_24_yrs, f_croatia_0_4_yrs, f_indonesia_45_54_yrs, f_france_75_84_yrs, f_france_55_64_yrs, f_korea_south_75_84_yrs, f_ireland_55_64_yrs, f_england_55_64_yrs, f_iran_85_yrs_ov, f_france_15_24_yrs, f_iraq_15_24_yrs, f_fiji_85_yrs_ov, f_greece_75_84_yrs, f_fiji_0_4_yrs, f_lebanon_tot, f_egypt_15_24_yrs, f_greece_15_24_yrs, f_iran_75_84_yrs, f_malaysia_15_24_yrs, f_malaysia_5_14_yrs, f_korea_south_15_24_yrs, f_iran_45_54_yrs, f_italy_55_64_yrs
3,0,0,0,10,0,20,0,0,0,0,189,3,0,0,0,26,9,6,0,3,0,3,8,50,0,0,0,0,0,0,3,0,72,"10050",3,5,0,0,0,3,0,0,11,4,6,38,18,0,0,10,104,0,11,9,0,3,0,0,0,0,0,88,0,6,0,27,0,47,0,0,0,0,0,14,11,16,0,0,12,0,14,19,18,0,68,0,270,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,0,5,0,3,0,20,0,0,0,23,0,37,0,0,0,0,0,129,4,11,0,0,3,15,9,7,0,4,0,0,0,0,0,0,6,0,12,11,7,0,0,0,10,0,30,0,19,3,0,0,512,0,28,0,3,0,5,0,39,0,34,0,5,0,0,0,4,"Albury (C)",5,4,4,23,0,0,0,0,0,3,112,0,0,0,0,12,0,3,0,0,0,3,0,4,3,6
9,0,0,0,8,0,15,0,0,4,0,41,0,0,0,0,14,4,4,0,3,7,0,17,33,0,0,0,0,0,3,5,0,30,"10130",0,3,0,0,0,0,0,4,11,70,7,13,13,0,18,0,62,3,0,0,3,0,0,0,3,0,6,50,0,8,0,4,0,15,0,3,3,0,0,9,3,7,0,0,17,0,11,9,4,0,142,0,78,0,0,0,0,3,0,0,11,0,0,0,0,0,3,3,0,0,19,0,0,0,0,0,0,0,11,9,0,0,3,0,48,0,0,0,0,0,55,0,9,0,0,0,19,0,0,42,6,0,0,0,0,0,0,0,0,7,5,4,3,0,0,8,0,22,0,6,3,0,0,264,0,3,0,3,0,0,0,8,0,12,3,0,0,0,0,0,"Armidale Regional (A)",15,0,0,11,0,9,0,0,0,0,63,0,0,4,0,0,0,3,0,0,0,0,3,0,0,4
12,0,0,3,10,0,12,0,0,4,4,31,0,0,0,3,13,0,0,3,3,16,0,17,101,0,0,0,0,0,4,0,7,102,"10250",4,3,0,0,0,0,0,0,11,0,9,36,29,8,0,7,158,0,6,3,0,0,0,3,0,0,0,145,0,3,4,16,0,22,0,0,5,0,0,15,0,20,0,0,30,0,11,3,4,0,44,0,41,0,0,6,0,0,0,0,5,0,3,0,0,0,3,3,0,0,44,0,0,0,3,0,0,0,17,0,5,0,7,3,9,8,0,0,0,0,74,3,13,4,0,0,10,0,13,0,3,0,0,0,0,0,0,0,0,7,3,5,3,0,0,16,0,27,0,0,0,4,0,721,0,12,0,0,0,3,0,60,0,36,0,0,0,0,3,9,"Ballina (A)",3,0,4,15,0,3,0,4,0,12,116,3,3,0,3,0,0,0,0,0,0,0,0,3,0,5
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10300",0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"Balranald (A)",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
3,0,0,0,6,8,7,0,0,4,0,42,0,0,0,3,8,6,3,0,3,0,3,13,57,0,0,0,0,0,0,0,0,57,"10470",0,0,0,0,0,3,0,0,7,4,7,19,20,0,0,3,90,0,5,5,0,0,0,3,3,0,0,68,0,3,9,8,0,21,0,4,3,0,0,9,5,7,0,0,11,0,6,6,7,0,57,0,79,0,0,5,0,0,4,0,3,0,3,0,0,0,9,0,0,0,12,0,0,0,3,0,0,0,9,0,0,0,7,0,26,4,0,0,0,0,55,0,9,0,0,3,13,0,8,8,0,0,0,0,0,0,0,3,0,13,5,0,0,0,0,5,0,20,0,8,4,0,0,401,0,11,0,0,0,3,3,22,0,28,0,7,0,0,0,9,"Bathurst Regional (A)",9,3,0,20,0,0,0,0,0,10,83,0,0,3,0,3,0,14,0,0,0,0,0,0,0,4
3,0,0,3,0,0,3,0,0,0,0,10,0,3,0,0,22,0,0,0,6,4,0,9,42,0,0,0,0,0,0,4,0,107,"10550",3,3,0,0,3,0,0,0,23,0,8,13,7,3,0,0,225,0,3,0,0,0,0,0,0,0,0,98,0,3,0,17,0,41,0,0,3,0,0,9,0,11,0,0,21,0,4,0,7,3,22,0,21,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,9,0,3,0,6,0,7,3,0,0,0,0,121,0,8,3,0,4,3,0,13,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,5,0,17,0,0,0,3,0,722,0,3,0,0,0,8,0,55,0,32,0,0,0,3,0,13,"Bega Valley (A)",0,0,0,11,0,0,3,3,0,7,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,18,4,3,0,3,6,0,4,25,0,0,0,0,0,0,0,0,36,"10600",0,3,0,0,0,0,0,0,8,0,0,4,4,6,0,0,65,0,0,0,0,0,0,0,0,0,0,54,0,0,0,8,0,13,0,0,0,0,0,3,0,13,0,0,15,0,3,0,6,0,7,0,11,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,58,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,14,0,0,0,0,0,284,0,0,0,0,0,0,0,20,0,14,0,3,0,0,0,3,"Bellingen (A)",0,0,0,6,0,0,0,4,0,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"10650",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,27,0,0,0,0,0,0,3,0,0,0,14,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,81,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,"Berrigan (A)",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,4,11,76,1639,74,482,55,11,7,0,7592,32,207,183,303,48,810,136,35,24,18,273,828,449,0,8,8,42,10,104,166,20,281,"10750",104,28,8,68,25,103,0,108,33,171,141,615,3727,161,343,143,498,246,182,447,6,32,51,148,48,89,5,489,32,764,188,84,19,182,3,156,51,57,86,472,158,120,0,11,92,4,290,712,77,22,2574,20,12236,13,49,539,4,61,230,89,25,0,95,18,5,3,55,5,123,0,106,36,226,18,112,4,92,8,782,50,152,14,359,5,1086,417,24,6,3,3,509,20,57,72,4,288,751,25,1113,833,152,209,8,3,34,4,0,133,86,223,1329,43,27,4,5,46,86,729,138,1048,49,143,3,2544,11,545,0,24,37,956,38,104,4,267,96,380,40,9,53,74,"Blacktown (C)",330,94,100,72,0,153,7,14,38,42,508,5,4,128,16,86,4,881,75,10,15,43,33,72,128,114
0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,"10800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,42,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"Bland (A)",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
