f_pakistan_85_yrs_ov, f_se_europe_nfd_5_14_yrs, f_taiwan_85_yrs_ov, f_fyrom_75_84_yrs, f_png_tot, f_usa_75_84_yrs, f_taiwan_75_84_yrs, f_new_zealand_45_54_yrs, f_philippines_85_yrs_ov, f_thailand_85_yrs_ov, f_sri_lanka_0_4_yrs, f_mauritius_55_64_yrs_yrs, f_sri_lanka_5_14_yrs, f_nthern_ireland_55_64_yrs_yrs, f_netherlands_0_4_yrs, f_poland_85_yrs_ov, f_usa_55_64_yrs_yrs, f_mauritius_45_54_yrs, f_south_africa_75_84_yrs, f_south_africa_85_yrs_ov, f_new_zealand_tot, f_se_europe_nfd_55_64_yrs_yrs, f_netherlands_55_64_yrs_yrs, f_singapore_45_54_yrs, f_png_0_4_yrs, f_new_zealand_75_84_yrs, f_scotland_45_54_yrs, f_pakistan_25_44_yrs, f_thailand_75_84_yrs, f_turkey_tot, f_se_europe_nfd_75_84_yrs, f_pakistan_15_24_yrs, f_thailand_45_54_yrs, f_south_africa_65_74_yrs, lga_code_2016, f_nepal_5_14_yrs, f_usa_0_4_yrs, f_singapore_5_14_yrs, f_usa_25_44_yrs, f_myanmar_45_54_yrs, f_philippines_25_44_yrs, f_south_africa_45_54_yrs, f_sri_lanka_75_84_yrs, f_scotland_55_64_yrs_yrs, f_sri_lanka_tot, f_taiwan_55_64_yrs_yrs, f_nthern_ireland_5_14_yrs, f_nepal_45_54_yrs, f_png_65_74_yrs, f_png_25_44_yrs, f_pakistan_0_4_yrs, f_south_africa_55_64_yrs_yrs, f_fyrom_55_64_yrs_yrs, f_turkey_15_24_yrs, f_singapore_tot, f_myanmar_tot, f_poland_45_54_yrs, f_thailand_15_24_yrs, f_new_zealand_5_14_yrs, f_se_europe_nfd_0_4_yrs, f_turkey_85_yrs_ov, f_netherlands_75_84_yrs, f_se_europe_nfd_tot, f_thailand_tot, f_nepal_tot, f_philippines_5_14_yrs, f_fyrom_25_44_yrs, f_turkey_5_14_yrs, f_nepal_75_84_yrs, f_taiwan_65_74_yrs, f_nthern_ireland_65_74_yrs, f_usa_85_yrs_ov, f_nthern_ireland_25_44_yrs, f_new_zealand_0_4_yrs, f_nepal_25_44_yrs, f_nepal_65_74_yrs, f_nthern_ireland_15_24_yrs, f_nepal_15_24_yrs, f_poland_0_4_yrs, f_myanmar_65_74_yrs, f_new_zealand_25_44_yrs, f_pakistan_75_84_yrs, f_singapore_55_64_yrs_yrs, f_myanmar_25_44_yrs, f_nthern_ireland_45_54_yrs, f_usa_65_74_yrs, f_myanmar_85_yrs_ov, f_turkey_55_64_yrs_yrs, f_philippines_55_64_yrs_yrs, f_mauritius_0_4_yrs, f_netherlands_45_54_yrs, f_poland_5_14_yrs, f_new_zealand_55_64_yrs_yrs, f_singapore_65_74_yrs, f_pakistan_65_74_yrs, f_philippines_0_4_yrs, f_nthern_ireland_75_84_yrs, f_thailand_65_74_yrs, f_usa_5_14_yrs, f_png_45_54_yrs, f_poland_75_84_yrs, f_singapore_15_24_yrs, f_netherlands_5_14_yrs, f_pakistan_55_64_yrs_yrs, f_turkey_25_44_yrs, f_fyrom_tot, f_singapore_85_yrs_ov, f_thailand_25_44_yrs, f_usa_45_54_yrs, f_png_5_14_yrs, f_myanmar_15_24_yrs, f_south_africa_tot, f_nepal_55_64_yrs_yrs, f_turkey_0_4_yrs, f_fyrom_65_74_yrs, f_mauritius_85_yrs_ov, f_usa_tot, f_scotland_85_yrs_ov, f_pakistan_45_54_yrs, f_nthern_ireland_tot, f_turkey_65_74_yrs, f_nepal_85_yrs_ov, f_poland_25_44_yrs, f_fyrom_15_24_yrs, f_new_zealand_15_24_yrs, f_taiwan_tot, f_scotland_75_84_yrs, f_netherlands_15_24_yrs, f_philippines_65_74_yrs, f_scotland_0_4_yrs, f_se_europe_nfd_45_54_yrs, f_singapore_75_84_yrs, f_fyrom_85_yrs_ov, f_myanmar_75_84_yrs, f_scotland_tot, f_se_europe_nfd_15_24_yrs, f_scotland_25_44_yrs, f_taiwan_0_4_yrs, f_sri_lanka_85_yrs_ov, f_thailand_0_4_yrs, f_netherlands_65_74_yrs, f_pakistan_5_14_yrs, f_poland_15_24_yrs, f_south_africa_15_24_yrs, f_sri_lanka_45_54_yrs, f_new_zealand_65_74_yrs, f_myanmar_0_4_yrs, f_taiwan_15_24_yrs, f_sri_lanka_25_44_yrs, f_poland_65_74_yrs, f_se_europe_nfd_65_74_yrs, f_myanmar_55_64_yrs_yrs, f_mauritius_tot, f_south_africa_25_44_yrs, f_poland_tot, f_png_75_84_yrs, f_scotland_5_14_yrs, f_south_africa_0_4_yrs, f_fyrom_5_14_yrs, f_turkey_45_54_yrs, f_se_europe_nfd_85_yrs_ov, f_new_zealand_85_yrs_ov, f_netherlands_25_44_yrs, f_netherlands_85_yrs_ov, f_philippines_15_24_yrs, f_png_85_yrs_ov, f_mauritius_5_14_yrs, f_singapore_0_4_yrs, f_philippines_45_54_yrs, f_fyrom_0_4_yrs, f_sri_lanka_65_74_yrs, lga_name_2016, f_mauritius_15_24_yrs, f_nepal_0_4_yrs, f_thailand_5_14_yrs, f_taiwan_5_14_yrs, f_philippines_75_84_yrs, f_myanmar_5_14_yrs, f_thailand_55_64_yrs_yrs, f_sri_lanka_15_24_yrs, f_nthern_ireland_0_4_yrs, f_netherlands_tot, f_fyrom_45_54_yrs, f_taiwan_45_54_yrs, f_poland_55_64_yrs_yrs, f_singapore_25_44_yrs, f_png_55_64_yrs_yrs, f_sri_lanka_55_64_yrs_yrs, f_scotland_15_24_yrs, f_turkey_75_84_yrs, f_pakistan_tot, f_usa_15_24_yrs, f_png_15_24_yrs, f_philippines_tot, f_scotland_65_74_yrs, f_nthern_ireland_85_yrs_ov, f_mauritius_75_84_yrs, f_mauritius_65_74_yrs, f_south_africa_5_14_yrs, f_taiwan_25_44_yrs, f_mauritius_25_44_yrs, f_se_europe_nfd_25_44_yrs
0,0,0,0,9,0,0,54,0,0,3,0,3,0,0,7,14,0,0,4,263,0,16,3,0,17,8,5,0,0,5,0,10,7,"10050",34,0,0,20,0,68,19,0,18,57,0,0,0,0,5,0,9,0,0,11,3,0,6,19,0,0,23,14,50,101,11,0,0,0,0,3,0,0,0,25,0,0,34,0,0,58,0,3,0,0,3,0,0,30,0,10,0,56,0,0,3,4,0,4,6,0,0,3,0,0,0,0,31,3,0,0,66,0,0,0,0,52,11,0,10,0,0,4,0,19,6,16,0,13,0,0,0,0,0,78,0,7,0,0,0,34,3,0,5,6,33,0,0,29,3,3,0,8,20,16,0,0,0,0,0,3,0,12,12,16,0,0,0,34,0,0,"Albury (C)",0,5,0,0,0,0,6,9,0,100,0,0,3,3,0,3,0,0,10,7,0,182,12,0,0,0,3,0,4,3
0,0,0,0,22,5,0,32,0,0,0,0,5,0,0,0,15,0,0,0,143,0,11,0,0,6,10,3,0,3,0,0,0,3,"10130",0,0,8,21,3,53,9,0,8,37,0,0,0,0,11,0,4,0,0,17,7,0,3,11,0,0,5,0,18,89,4,0,0,0,0,3,0,3,0,63,0,0,23,0,0,29,0,4,4,0,9,0,0,17,0,5,0,29,0,0,0,0,0,8,7,0,0,0,0,0,0,0,12,9,0,0,44,0,0,0,0,74,3,0,6,0,0,3,0,27,33,3,0,0,0,0,3,0,0,50,0,7,0,0,0,13,0,0,12,3,14,0,4,16,0,0,0,0,14,3,0,3,0,0,0,0,0,6,3,20,0,0,0,10,0,0,"Armidale Regional (A)",0,0,0,0,0,0,0,3,0,33,0,0,3,4,4,4,3,0,9,7,0,101,14,0,0,0,3,23,0,0
0,0,0,0,39,3,0,57,0,0,0,0,0,3,0,3,18,0,10,3,337,0,18,5,0,24,14,0,0,3,0,0,11,19,"10250",0,0,0,19,0,35,27,0,12,8,0,0,0,0,4,0,13,0,0,21,0,0,0,22,0,0,11,4,50,3,8,0,0,0,0,3,0,0,0,3,0,0,0,0,0,89,0,3,0,3,10,0,0,23,0,12,0,70,0,0,0,0,0,5,14,0,0,0,0,0,0,0,25,17,0,0,115,0,0,0,0,84,3,0,9,0,0,4,0,21,3,13,0,12,0,0,0,0,0,83,0,18,0,0,0,21,0,0,9,3,54,0,0,0,3,3,0,3,25,11,0,0,0,0,0,0,6,9,12,3,0,0,3,11,0,3,"Ballina (A)",0,0,3,0,3,0,3,0,0,86,0,0,0,7,10,0,5,0,0,7,0,86,22,0,0,0,7,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"10300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balranald (A)",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0
0,0,0,0,14,0,0,45,0,0,0,0,3,3,0,0,4,0,0,0,201,0,10,4,0,7,21,9,0,0,0,0,7,7,"10470",6,3,0,14,0,41,9,0,16,31,0,0,0,0,0,0,3,0,0,14,3,0,0,5,0,0,9,6,36,23,9,0,0,0,0,7,0,0,0,20,0,0,3,0,0,61,0,3,3,0,6,0,0,16,0,6,0,35,0,0,3,0,0,3,11,0,0,0,0,0,0,0,19,3,0,0,54,0,0,0,0,41,4,3,14,0,0,0,0,21,4,11,0,0,3,0,3,0,0,79,0,3,0,0,0,20,0,0,11,6,24,0,0,11,0,3,0,3,20,11,0,0,0,0,0,0,8,3,6,4,0,0,0,23,0,5,"Bathurst Regional (A)",0,0,0,0,3,0,3,3,0,60,0,0,3,6,3,0,3,0,14,3,0,95,21,0,0,0,3,0,3,0
0,0,0,0,11,4,0,50,0,0,0,0,0,3,0,0,22,0,5,4,186,4,21,0,0,5,10,0,0,0,3,0,11,8,"10550",0,0,0,14,0,24,3,0,12,4,0,0,0,0,4,0,15,0,0,5,0,0,7,8,0,0,26,11,43,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,31,0,4,0,0,16,0,0,29,0,8,0,66,0,0,0,0,0,3,6,3,0,0,0,0,0,0,26,5,0,0,42,0,0,0,0,73,5,0,12,0,0,4,0,3,0,18,0,4,0,0,0,0,0,74,0,3,0,0,0,37,0,0,0,0,25,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,4,11,0,0,0,0,23,0,0,"Bega Valley (A)",0,0,0,0,3,0,8,0,0,106,0,0,4,3,0,0,0,0,3,5,0,93,29,0,0,0,0,0,0,0
0,0,0,0,5,3,0,14,0,0,0,0,0,0,0,0,8,0,3,0,84,0,10,0,0,8,4,0,0,0,0,0,0,0,"10600",0,0,0,3,0,3,3,0,4,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,0,0,4,10,0,0,6,0,3,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,17,0,0,0,0,28,3,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,25,0,3,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,"Bellingen (A)",0,0,0,0,0,0,0,0,0,33,0,0,0,3,3,0,0,0,0,3,0,22,9,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,39,0,6,0,0,0,0,0,0,0,0,0,0,0,"10650",0,0,0,0,0,15,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,3,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,9,0,0,0,0,4,0,0,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,"Berrigan (A)",0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,31,11,0,0,0,0,0,0,0
0,0,4,10,82,3,0,523,161,0,24,97,101,10,0,100,28,63,32,5,3977,56,35,42,0,34,81,972,3,671,51,233,80,68,"10750",47,8,33,138,100,4447,176,77,98,2303,32,0,42,8,22,52,141,28,43,275,420,61,40,498,0,0,58,257,442,697,501,21,9,4,8,37,0,13,82,464,3,0,96,0,40,1523,21,46,159,24,21,5,102,2160,0,16,0,361,26,47,64,15,15,72,27,61,36,0,122,202,104,4,229,50,0,34,931,38,7,26,19,394,33,243,103,77,0,95,0,807,165,62,8,928,3,48,12,0,13,453,4,43,8,32,3,77,241,11,111,408,133,0,10,989,84,51,62,371,318,522,4,11,3,0,205,16,11,15,21,1043,0,9,4,2535,0,173,"Blacktown (C)",10,0,23,3,240,15,45,174,0,238,15,14,114,67,11,320,11,25,1927,73,6,12082,108,9,35,61,68,88,80,37
0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,"10800",0,0,0,0,0,8,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,"Bland (A)",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,3,3,0,0
