m_png_55_64_yrs, m_south_africa_25_44_yrs, m_italy_25_44_yrs, m_mauritius_0_4_yrs, m_philippines_25_44_yrs, m_south_africa_85_yrs_ov, m_myanmar_85_yrs_ov, m_png_85_yrs_ov, m_japan_65_74_yrs, m_korea_south_55_64_yrs, m_south_africa_tot, m_poland_0_4_yrs, m_nthern_ireland_65_74_yrs, m_singapore_75_84_yrs, m_mauritius_25_44_yrs, m_korea_south_45_54_yrs, m_italy_tot, m_lebanon_0_4_yrs, m_myanmar_55_64_yrs, m_nepal_55_64_yrs, m_ireland_25_44_yrs, m_nepal_0_4_yrs, m_south_africa_75_84_yrs, m_ireland_85_yrs_ov, m_new_zealand_65_74_yrs, m_new_zealand_45_54_yrs, m_png_tot, lga_code_2016, m_pakistan_0_4_yrs, m_scotland_15_24_yrs, m_scotland_85_yrs_ov, m_singapore_0_4_yrs, m_singapore_85_yrs_ov, m_malaysia_25_44_yrs, m_korea_south_0_4_yrs, m_lebanon_65_74_yrs, m_malaysia_15_24_yrs, m_singapore_45_54_yrs, m_japan_25_44_yrs, m_malta_0_4_yrs, m_netherlands_15_24_yrs, m_malaysia_65_74_yrs, m_philippines_75_84_yrs, m_pakistan_tot, m_mauritius_75_84_yrs, m_malaysia_55_64_yrs, m_new_zealand_0_4_yrs, m_nthern_ireland_15_24_yrs, m_nthern_ireland_5_14_yrs, m_mauritius_65_74_yrs, m_lebanon_15_24_yrs, m_scotland_65_74_yrs, m_new_zealand_85_yrs_ov, m_singapore_tot, m_singapore_55_64_yrs, m_malaysia_5_14_yrs, m_netherlands_75_84_yrs, m_nepal_5_14_yrs, m_mauritius_55_64_yrs, m_myanmar_tot, m_scotland_tot, m_japan_tot, m_nepal_75_84_yrs, m_netherlands_65_74_yrs, m_png_15_24_yrs, m_pakistan_65_74_yrs, m_poland_85_yrs_ov, m_japan_5_14_yrs, m_netherlands_45_54_yrs, m_poland_65_74_yrs, m_south_africa_5_14_yrs, m_lebanon_25_44_yrs, m_philippines_85_yrs_ov, m_malta_55_64_yrs, m_japan_55_64_yrs, m_italy_0_4_yrs, m_nthern_ireland_45_54_yrs, m_poland_tot, m_new_zealand_15_24_yrs, m_philippines_0_4_yrs, m_philippines_65_74_yrs, m_new_zealand_75_84_yrs, m_myanmar_45_54_yrs, m_new_zealand_tot, m_south_africa_15_24_yrs, m_japan_45_54_yrs, m_pakistan_25_44_yrs, m_lebanon_85_yrs_ov, m_pakistan_75_84_yrs, m_ireland_45_54_yrs, m_korea_south_tot, m_mauritius_5_14_yrs, m_png_5_14_yrs, m_south_africa_0_4_yrs, m_nepal_25_44_yrs, m_mauritius_tot, m_myanmar_65_74_yrs, m_poland_15_24_yrs, m_ireland_5_14_yrs, m_scotland_25_44_yrs, m_png_75_84_yrs, m_italy_65_74_yrs, m_malta_25_44_yrs, m_malaysia_tot, m_lebanon_tot, m_philippines_55_64_yrs, m_netherlands_85_yrs_ov, m_mauritius_85_yrs_ov, m_philippines_15_24_yrs, m_korea_south_85_yrs_ov, m_poland_55_64_yrs, m_singapore_65_74_yrs, m_poland_5_14_yrs, m_netherlands_tot, m_pakistan_15_24_yrs, m_philippines_45_54_yrs, m_japan_15_24_yrs, m_malaysia_0_4_yrs, m_nepal_65_74_yrs, m_lebanon_55_64_yrs, m_new_zealand_55_64_yrs, m_korea_south_65_74_yrs, m_mauritius_45_54_yrs, m_png_65_74_yrs, m_scotland_45_54_yrs, m_korea_south_5_14_yrs, m_italy_85_yrs_ov, m_italy_45_54_yrs, m_nthern_ireland_25_44_yrs, m_png_0_4_yrs, m_lebanon_75_84_yrs, m_italy_5_14_yrs, m_lebanon_45_54_yrs, m_ireland_tot, m_italy_15_24_yrs, m_lebanon_5_14_yrs, m_nepal_15_24_yrs, m_malaysia_45_54_yrs, m_ireland_75_84_yrs, m_nepal_85_yrs_ov, m_mauritius_15_24_yrs, m_italy_55_64_yrs, m_korea_south_75_84_yrs, m_ireland_0_4_yrs, m_netherlands_25_44_yrs, m_myanmar_5_14_yrs, m_nthern_ireland_0_4_yrs, m_poland_75_84_yrs, m_nthern_ireland_85_yrs_ov, m_south_africa_65_74_yrs, m_japan_75_84_yrs, m_netherlands_5_14_yrs, m_nepal_45_54_yrs, m_malta_75_84_yrs, m_scotland_55_64_yrs, m_malta_15_24_yrs, m_netherlands_55_64_yrs, m_malaysia_75_84_yrs, m_scotland_5_14_yrs, m_pakistan_5_14_yrs, m_nepal_tot, m_italy_75_84_yrs, m_scotland_0_4_yrs, m_ireland_55_64_yrs, m_malta_5_14_yrs, m_korea_south_25_44_yrs, m_philippines_5_14_yrs, m_singapore_25_44_yrs, m_nthern_ireland_55_64_yrs, m_pakistan_85_yrs_ov, m_malta_45_54_yrs, m_ireland_15_24_yrs, m_japan_0_4_yrs, m_singapore_5_14_yrs, m_south_africa_45_54_yrs, lga_name_2016, m_malta_65_74_yrs, m_singapore_15_24_yrs, m_myanmar_0_4_yrs, m_south_africa_55_64_yrs, m_malaysia_85_yrs_ov, m_netherlands_0_4_yrs, m_korea_south_15_24_yrs, m_poland_45_54_yrs, m_new_zealand_5_14_yrs, m_pakistan_45_54_yrs, m_png_45_54_yrs, m_poland_25_44_yrs, m_myanmar_15_24_yrs, m_new_zealand_25_44_yrs, m_nthern_ireland_75_84_yrs, m_pakistan_55_64_yrs, m_philippines_tot, m_nthern_ireland_tot, m_scotland_75_84_yrs, m_malta_tot, m_japan_85_yrs_ov, m_ireland_65_74_yrs, m_png_25_44_yrs, m_myanmar_75_84_yrs, m_myanmar_25_44_yrs, m_malta_85_yrs_ov
0,20,0,0,45,0,0,0,0,0,65,0,3,0,0,0,33,0,0,0,15,3,0,0,37,68,8,"10050",0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,22,0,3,0,0,0,0,0,23,5,12,0,0,24,31,0,0,87,3,0,42,0,0,4,0,5,3,4,3,0,0,0,0,0,16,30,0,3,11,0,275,15,0,13,0,0,4,16,0,0,0,21,3,0,0,3,5,0,7,0,13,9,8,3,0,6,0,3,0,0,96,0,15,0,0,0,0,49,0,0,0,17,0,0,3,3,0,0,0,4,39,0,0,44,0,7,0,0,7,0,0,4,0,0,0,0,4,0,3,3,4,19,0,16,0,0,3,103,10,0,0,0,7,20,0,0,0,0,0,0,0,10,"Albury (C)",4,0,0,6,0,0,4,0,10,4,3,0,0,73,3,0,100,7,17,7,0,5,4,0,0,0
3,8,0,0,31,0,0,0,0,0,43,0,0,0,0,0,9,0,0,0,3,0,0,0,20,30,23,"10130",0,5,6,0,0,8,0,0,4,0,0,0,0,0,0,27,0,3,0,0,0,0,0,10,3,8,0,3,0,0,0,5,44,7,0,10,3,0,0,0,0,0,6,0,0,0,0,0,0,9,23,0,0,6,0,170,6,0,17,0,0,5,3,0,4,0,47,0,0,0,0,3,0,3,0,21,4,0,0,0,3,0,0,0,0,25,7,3,0,0,0,0,31,0,0,0,13,0,0,0,0,0,0,0,0,16,0,0,8,5,0,0,0,3,0,0,4,3,0,3,0,3,0,0,6,0,7,0,7,0,0,3,62,0,0,3,0,3,3,0,0,0,0,0,0,0,14,"Armidale Regional (A)",0,0,0,3,0,0,0,0,17,0,5,0,0,36,0,0,48,3,4,0,0,0,7,0,3,0
5,27,5,0,5,3,0,0,3,0,114,0,6,3,0,0,61,0,0,0,16,0,10,5,38,60,28,"10250",0,3,8,0,0,4,0,0,0,0,3,0,0,4,0,0,0,8,3,0,0,0,0,27,12,10,0,0,6,0,0,3,86,19,0,27,3,0,0,6,3,0,5,0,0,3,0,0,0,10,17,0,0,17,0,314,9,3,0,0,0,5,6,0,0,0,3,3,0,0,0,9,0,13,0,19,5,3,10,0,3,0,3,0,0,66,0,3,0,0,0,3,74,0,0,0,17,0,10,4,0,0,0,0,0,36,0,0,0,5,4,0,0,4,0,0,5,0,0,0,0,27,0,5,0,3,8,0,12,3,5,0,3,17,0,3,0,5,3,0,5,0,0,0,0,0,20,"Ballina (A)",7,0,0,21,0,0,3,0,14,0,9,4,0,81,0,0,21,8,13,12,0,7,7,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,"10300",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balranald (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,15,0,0,22,0,0,0,0,0,52,0,0,0,3,3,25,0,0,0,12,0,0,0,32,53,14,"10470",0,4,0,0,0,8,0,3,0,0,0,0,0,3,0,18,0,0,3,0,0,0,0,14,3,11,0,4,12,0,0,3,81,13,0,11,0,0,0,3,6,0,5,10,0,3,0,0,0,7,28,3,0,8,0,234,9,0,17,0,0,5,20,0,0,0,20,3,0,0,5,8,0,7,0,22,27,3,3,0,15,0,0,3,0,50,0,3,3,0,0,0,36,0,0,0,13,3,0,3,0,0,0,0,6,31,0,0,5,5,6,0,0,10,0,0,6,0,0,4,0,7,0,0,3,0,17,0,6,0,3,0,29,0,0,3,0,11,13,4,0,0,0,0,0,0,7,"Bathurst Regional (A)",5,0,0,6,0,0,3,0,13,0,3,0,0,63,0,0,61,6,13,10,0,3,4,0,3,0
5,9,3,0,13,3,0,0,0,0,42,0,3,0,0,0,38,0,0,0,5,0,8,0,38,32,11,"10550",0,0,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,12,0,0,25,3,0,0,86,11,0,36,0,0,3,3,9,0,0,0,0,3,3,0,0,13,3,0,0,15,0,189,3,0,0,0,0,5,6,0,0,0,3,3,0,0,0,3,0,14,0,13,3,0,12,0,3,0,0,0,0,95,0,0,0,0,0,0,63,0,0,0,4,0,3,6,0,0,0,0,0,30,0,0,0,3,3,0,0,13,0,0,3,0,0,3,3,7,0,0,0,4,24,0,6,0,0,0,3,6,0,4,0,4,3,0,3,0,0,0,0,0,4,"Bega Valley (A)",9,0,0,8,0,0,0,4,11,0,3,0,0,23,6,0,26,16,18,19,0,13,0,0,0,0
0,10,0,0,0,0,0,0,0,0,30,0,0,0,0,0,3,0,0,0,0,0,3,0,14,16,3,"10600",0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,5,0,0,0,35,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,3,3,3,0,0,3,0,83,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,4,0,0,0,0,0,0,29,0,0,0,0,0,0,27,0,0,0,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Bellingen (A)",0,0,0,8,0,0,0,0,0,0,3,0,0,24,0,0,5,3,5,0,0,0,0,0,0,0
0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,10,9,0,"10650",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,23,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,"Berrigan (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,6,3,3,0,0,0,0,0,0
11,294,39,0,3782,8,0,0,3,100,855,0,20,6,65,137,681,3,48,22,113,3,29,8,153,556,62,"10750",62,12,14,10,3,197,3,160,50,40,16,0,3,85,137,2187,31,132,66,3,3,60,31,97,8,271,46,27,48,43,68,400,441,41,3,86,10,61,44,10,20,73,40,299,40,288,8,0,22,404,841,65,728,30,106,4069,109,3,1063,10,19,50,700,6,0,8,483,307,41,6,33,47,0,206,42,616,957,1600,20,7,1027,9,112,23,6,251,295,1960,6,4,7,189,367,76,53,0,90,38,54,82,12,0,53,8,203,347,14,14,67,94,22,0,18,131,28,3,20,10,0,32,3,65,0,4,57,219,104,3,50,22,10,203,694,150,0,40,0,238,493,68,24,6,79,15,0,40,180,"Blacktown (C)",484,35,5,122,7,0,65,44,519,320,9,88,36,1525,16,163,9828,112,60,1158,0,66,28,15,143,39
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,"10800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4,"Bland (A)",0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,6,0,0,0
