m_se_europe_nfd_85_yrs_ov, f_bangladesh_45_54_yrs, m_taiwan_45_54_yrs, f_bangladesh_5_14_yrs, f_bosnia_herzegov_45_54_yrs, m_usa_75_84_yrs, f_bosnia_herzegov_55_64_yrs, m_taiwan_15_24_yrs, m_vietnam_65_74_yrs, m_se_europe_nfd_75_84_yrs, m_turkey_0_4_yrs, m_taiwan_85_yrs_ov, f_afghanistan_5_14_yrs, f_canada_55_64_yrs, f_bangladesh_25_44_yrs, m_sri_lanka_tot, m_zimbabwe_tot, f_australia_65_74_yrs, m_zimbabwe_75_84_yrs, f_chile_15_24_yrs, f_bosnia_herzegov_0_4_yrs, f_canada_0_4_yrs, m_vietnam_15_24_yrs, m_usa_85_yrs_ov, m_elsewhere_85_yrs_ov, m_wales_85_yrs_ov, m_wales_45_54_yrs, m_elsewhere_15_24_yrs, m_elsewhere_25_44_yrs, m_cob_ns_45_54_yrs, lga_code_2016, m_elsewhere_0_4_yrs, f_australia_0_4_yrs, m_vietnam_25_44_yrs, f_bangladesh_0_4_yrs, m_cob_ns_5_14_yrs, f_cambodia_75_84_yrs, f_bangladesh_55_64_yrs, f_chile_75_84_yrs, f_bangladesh_tot, f_chile_55_64_yrs, m_thailand_45_54_yrs, m_tot_85_yrs_ov, m_usa_65_74_yrs, m_elsewhere_55_64_yrs, m_turkey_tot, f_canada_5_14_yrs, m_cob_ns_tot, m_sri_lanka_0_4_yrs, m_taiwan_75_84_yrs, m_turkey_65_74_yrs, m_vietnam_5_14_yrs, m_sri_lanka_5_14_yrs, m_zimbabwe_45_54_yrs, f_chile_45_54_yrs, f_bosnia_herzegov_15_24_yrs, m_usa_5_14_yrs, f_bangladesh_15_24_yrs, m_wales_15_24_yrs, m_sri_lanka_15_24_yrs, m_thailand_15_24_yrs, m_zimbabwe_5_14_yrs, m_fyrom_45_54_yrs, m_fyrom_65_74_yrs, f_afghanistan_0_4_yrs, m_se_europe_nfd_15_24_yrs, m_tot_tot, f_chile_0_4_yrs, m_tot_75_84_yrs, m_tot_0_4_yrs, m_turkey_55_64_yrs, m_taiwan_55_64_yrs, m_zimbabwe_15_24_yrs, m_fyrom_75_84_yrs, m_se_europe_nfd_45_54_yrs, m_vietnam_tot, f_australia_5_14_yrs, f_afghanistan_45_54_yrs, m_wales_55_64_yrs, f_bosnia_herzegov_85_yrs_ov, m_fyrom_tot, f_cambodia_85_yrs_ov, m_taiwan_25_44_yrs, m_zimbabwe_0_4_yrs, f_cambodia_65_74_yrs, m_sri_lanka_75_84_yrs, f_afghanistan_75_84_yrs, f_bosnia_herzegov_tot, m_wales_75_84_yrs, m_thailand_85_yrs_ov, m_elsewhere_45_54_yrs, m_wales_tot, f_australia_15_24_yrs, m_taiwan_tot, f_canada_15_24_yrs, m_elsewhere_5_14_yrs, m_taiwan_5_14_yrs, m_wales_0_4_yrs, m_usa_tot, f_cambodia_45_54_yrs, m_usa_55_64_yrs, f_afghanistan_55_64_yrs, m_usa_0_4_yrs, f_canada_85_yrs_ov, m_turkey_45_54_yrs, f_bangladesh_85_yrs_ov, m_vietnam_45_54_yrs, m_vietnam_85_yrs_ov, m_sri_lanka_25_44_yrs, m_cob_ns_65_74_yrs, f_australia_tot, m_wales_25_44_yrs, m_zimbabwe_85_yrs_ov, m_fyrom_85_yrs_ov, m_tot_45_54_yrs, f_canada_25_44_yrs, m_se_europe_nfd_tot, f_australia_25_44_yrs, f_australia_45_54_yrs, f_chile_65_74_yrs, m_cob_ns_15_24_yrs, f_cambodia_tot, m_usa_15_24_yrs, f_cambodia_0_4_yrs, m_elsewhere_75_84_yrs, m_wales_5_14_yrs, f_cambodia_25_44_yrs, m_cob_ns_85_yrs_ov, m_tot_65_74_yrs, m_usa_45_54_yrs, f_bosnia_herzegov_65_74_yrs, m_thailand_25_44_yrs, m_thailand_tot, m_zimbabwe_25_44_yrs, m_tot_5_14_yrs, m_turkey_5_14_yrs, m_fyrom_5_14_yrs, m_sri_lanka_45_54_yrs, m_taiwan_0_4_yrs, f_cambodia_5_14_yrs, m_elsewhere_tot, m_cob_ns_75_84_yrs, m_turkey_75_84_yrs, m_wales_65_74_yrs, m_cob_ns_55_64_yrs, f_chile_85_yrs_ov, m_vietnam_0_4_yrs, m_taiwan_65_74_yrs, f_bosnia_herzegov_75_84_yrs, f_cambodia_15_24_yrs, m_tot_55_64_yrs, m_sri_lanka_85_yrs_ov, m_se_europe_nfd_65_74_yrs, f_bosnia_herzegov_25_44_yrs, m_thailand_55_64_yrs, m_zimbabwe_55_64_yrs, m_cob_ns_0_4_yrs, m_cob_ns_25_44_yrs, f_australia_85_yrs_ov, m_turkey_25_44_yrs, f_bangladesh_65_74_yrs, m_sri_lanka_65_74_yrs, m_sri_lanka_55_64_yrs, f_afghanistan_15_24_yrs, m_zimbabwe_65_74_yrs, m_thailand_0_4_yrs, f_afghanistan_85_yrs_ov, m_tot_15_24_yrs, f_chile_25_44_yrs, m_se_europe_nfd_25_44_yrs, m_fyrom_15_24_yrs, f_australia_75_84_yrs, m_thailand_75_84_yrs, f_canada_45_54_yrs, f_afghanistan_tot, m_thailand_5_14_yrs, m_thailand_65_74_yrs, lga_name_2016, f_chile_tot, f_canada_tot, f_bangladesh_75_84_yrs, f_afghanistan_25_44_yrs, f_canada_75_84_yrs, m_tot_25_44_yrs, m_vietnam_75_84_yrs, m_elsewhere_65_74_yrs, f_bosnia_herzegov_5_14_yrs, m_turkey_15_24_yrs, m_se_europe_nfd_5_14_yrs, m_se_europe_nfd_55_64_yrs, m_fyrom_0_4_yrs, m_se_europe_nfd_0_4_yrs, m_fyrom_55_64_yrs, f_cambodia_55_64_yrs, m_usa_25_44_yrs, f_australia_55_64_yrs, f_afghanistan_65_74_yrs, m_vietnam_55_64_yrs, f_chile_5_14_yrs, m_fyrom_25_44_yrs, f_canada_65_74_yrs, m_turkey_85_yrs_ov
0,0,0,3,0,3,0,0,0,5,0,0,0,3,32,47,10,1965,0,0,0,0,4,0,19,0,3,15,133,253,"10050",3,1442,5,3,180,0,0,0,43,0,0,490,3,52,0,0,1911,3,0,0,4,3,3,0,0,4,3,0,0,3,0,0,0,0,0,24662,0,1251,1689,0,0,0,0,5,11,2795,0,6,0,3,0,0,0,0,0,0,3,0,0,65,20,3018,0,0,18,0,0,45,0,9,0,0,0,0,0,3,0,28,212,21514,8,0,0,3169,7,13,5171,2718,4,242,3,5,0,38,0,3,72,2328,5,0,3,11,7,3208,0,0,5,0,0,396,147,0,9,251,0,0,0,0,0,3045,0,3,0,0,0,79,471,605,0,0,0,8,0,0,0,0,3308,0,0,0,1155,0,3,3,6,0,"Albury (C)",6,19,0,3,0,6168,0,54,0,0,0,0,0,0,0,0,13,2646,0,0,0,0,0,0
0,3,0,3,0,5,0,0,0,0,0,0,0,5,21,30,8,1101,0,0,0,0,0,0,0,0,0,40,132,162,"10130",15,741,17,0,92,0,3,0,30,0,0,220,11,21,3,0,1168,0,0,0,0,3,4,0,0,7,0,0,4,0,0,0,0,0,0,14227,0,705,844,0,0,0,0,0,24,1604,0,0,0,0,0,14,0,0,0,0,0,0,0,31,13,2231,16,3,32,0,0,73,0,14,0,7,0,0,0,0,0,9,121,12102,3,0,0,1772,9,0,2455,1455,0,231,0,8,0,13,3,0,26,1344,13,0,3,12,4,1833,0,0,4,0,0,301,78,0,3,155,0,0,0,0,0,1713,0,0,0,0,0,47,259,348,0,0,0,3,0,0,0,0,2629,3,0,0,698,0,6,0,3,0,"Armidale Regional (A)",7,31,0,0,0,3165,0,18,0,0,0,0,0,0,0,0,18,1466,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,13,2155,0,0,0,0,0,0,7,3,0,3,51,232,"10250",0,919,4,0,141,0,0,4,0,3,4,655,15,35,3,0,1529,0,0,0,0,0,0,0,0,4,0,0,0,8,3,0,0,0,0,20127,0,1437,1074,0,0,0,0,0,12,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,1729,4,0,6,0,0,64,0,11,0,0,0,0,0,3,0,6,212,17552,9,0,0,2701,16,3,3409,2370,5,133,5,4,0,18,0,0,83,2699,12,0,0,21,0,2565,0,0,0,0,3,192,140,0,9,264,0,0,0,0,3,3036,0,0,0,0,3,50,277,821,3,0,4,3,0,3,0,0,2032,3,0,0,1357,0,6,0,9,0,"Ballina (A)",11,41,0,0,0,3940,0,39,0,0,0,0,0,0,0,0,12,2725,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,3,21,"10300",0,66,0,0,11,0,0,0,0,0,0,12,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,0,59,80,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,89,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,900,0,0,0,156,0,0,207,119,0,19,0,0,0,0,0,0,3,119,0,0,0,0,0,172,0,0,0,0,0,4,14,0,0,29,0,0,0,0,0,194,0,0,0,0,0,3,28,14,0,0,0,0,0,0,0,0,154,0,0,0,50,0,0,0,0,0,"Balranald (A)",0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,4,0,0,0,3,10,24,8,1487,0,0,0,0,4,0,4,0,3,11,42,196,"10470",4,1140,22,0,126,0,0,0,19,0,0,293,0,30,0,3,1531,0,0,0,3,3,3,3,0,3,0,0,0,5,0,0,0,0,0,20695,0,882,1339,0,0,0,0,4,38,2481,0,3,0,3,0,0,0,0,0,0,0,0,0,23,9,2595,0,4,7,0,0,35,0,3,0,0,0,0,0,7,0,5,194,17206,0,0,0,2572,10,12,4054,2149,0,257,9,5,0,17,0,3,52,1917,5,0,13,15,3,2883,0,0,11,0,0,166,100,0,4,210,0,0,0,0,0,2477,0,0,0,0,0,63,329,412,0,0,0,3,0,3,0,0,3122,0,0,0,852,0,10,4,0,0,"Bathurst Regional (A)",3,32,0,4,0,5213,0,24,0,0,0,3,0,0,0,0,6,2032,0,0,0,0,5,0
0,0,0,0,0,3,0,0,0,5,0,0,0,8,0,7,6,1788,0,0,0,0,0,0,9,0,10,3,23,228,"10550",0,669,3,0,112,0,0,0,0,3,3,373,17,31,5,0,1425,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,16252,0,1243,757,0,0,0,0,0,8,1689,0,4,0,0,0,0,0,0,0,0,0,3,0,25,27,1302,0,3,5,0,0,59,0,5,0,0,0,0,0,0,0,0,224,13479,4,0,0,2201,10,13,2395,1891,0,117,4,0,0,39,0,0,40,2561,7,0,3,17,0,1944,0,0,0,0,0,170,144,0,9,290,0,0,0,0,0,2988,0,0,0,0,0,44,242,423,0,0,3,0,0,3,0,0,1534,0,0,0,899,0,3,0,3,0,"Bega Valley (A)",9,30,0,0,0,2651,0,42,0,0,0,7,0,0,0,3,9,2413,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0,16,75,"10600",0,288,0,0,62,0,0,0,0,0,0,135,9,10,3,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6123,0,443,303,0,0,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,475,0,0,3,0,0,25,0,6,0,0,3,3,0,0,0,0,67,5225,4,0,0,825,6,0,952,781,0,44,0,0,0,9,0,0,14,864,4,0,3,4,0,791,0,0,0,0,0,60,42,0,3,93,0,0,0,0,0,1081,0,0,0,0,0,12,81,163,0,0,0,0,0,0,0,0,589,3,0,0,347,0,0,0,0,0,"Bellingen (A)",7,13,0,0,0,1093,0,9,0,0,0,0,0,0,0,0,5,886,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,509,0,0,0,0,0,0,0,0,0,0,3,46,"10650",0,201,0,0,50,0,0,0,0,0,0,133,0,3,0,0,481,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4224,0,381,249,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,302,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,4,83,3441,0,0,0,447,3,0,658,390,0,49,0,0,0,4,0,0,13,713,0,0,0,0,0,495,0,0,0,0,0,28,57,0,0,70,0,0,0,0,0,645,0,0,0,0,0,28,99,139,0,0,0,0,0,0,0,0,408,0,0,0,283,0,0,0,0,0,"Berrigan (A)",0,3,0,0,0,776,0,4,0,0,0,0,0,0,0,0,3,535,0,0,0,0,0,0
20,147,10,80,57,3,54,11,35,49,3,0,31,19,756,2597,157,4321,0,4,0,0,15,0,108,5,10,934,2429,1240,"10750",56,11993,152,20,1125,0,71,20,1176,72,19,1248,12,1155,666,15,9125,19,0,69,4,129,35,73,10,77,75,0,215,39,9,20,20,3,0,167574,0,4330,13683,113,12,43,11,36,434,19354,170,12,3,86,0,57,0,4,62,12,247,16,0,1421,66,14988,117,30,455,3,0,424,15,41,145,17,0,182,0,105,8,1192,740,90763,9,0,0,20854,61,270,22137,8564,74,1177,91,95,0,375,0,47,147,10388,53,34,78,178,54,25722,6,0,437,3,0,7643,359,24,14,1040,13,3,11,18,7,16412,12,63,66,13,17,674,2615,829,216,14,193,344,175,0,3,3,23836,91,46,8,2093,0,20,1139,24,7,"Blacktown (C)",340,155,5,536,3,51097,5,707,3,46,0,56,0,0,22,8,123,6485,54,101,3,13,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,237,0,0,0,0,0,0,0,0,0,0,3,45,"10800",0,164,3,0,37,0,0,0,0,0,0,76,0,5,0,0,378,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2971,0,204,167,0,0,0,0,0,3,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2442,0,0,0,358,0,0,523,278,0,36,0,0,0,3,0,0,22,331,0,0,0,0,0,435,0,0,0,0,0,11,40,0,0,62,0,0,0,0,0,452,0,0,0,0,0,13,73,86,0,0,0,0,0,0,0,0,306,0,0,0,187,0,0,0,0,0,"Bland (A)",0,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0
