f_tot_0_4_yrs, p_chile_5_14_yrs, p_china_55_64_yrs, p_egypt_75_84_yrs, f_zimbabwe_55_64_yrs, p_england_tot, p_cambodia_0_4_yrs, p_afghanistan_75_84_yrs, p_france_tot, p_afghanistan_0_4_yrs, p_australia_45_54_yrs, f_wales_85_yrs_ov, p_china_65_74_yrs, f_wales_25_44_yrs, p_afghanistan_tot, p_fiji_tot, p_fiji_75_84_yrs, p_australia_25_44_yrs, f_vietnam_0_4_yrs, p_australia_15_24_yrs, p_australia_55_64_yrs, f_vietnam_65_74_yrs, p_cambodia_25_44_yrs, f_wales_15_24_yrs, p_germany_25_44_yrs, f_zimbabwe_75_84_yrs, p_france_15_24_yrs, p_afghanistan_45_54_yrs, p_france_0_4_yrs, f_cob_ns_tot, f_cob_ns_65_74_yrs, f_wales_5_14_yrs, p_afghanistan_5_14_yrs, p_canada_45_54_yrs, f_elsewhere_15_24_yrs, p_germany_65_74_yrs, f_zimbabwe_0_4_yrs, lga_code_2016, f_tot_75_84_yrs, p_egypt_45_54_yrs, p_bosnia_herzegov_15_24_yrs, p_england_75_84_yrs, f_vietnam_45_54_yrs, p_china_75_84_yrs, f_tot_55_64_yrs, p_croatia_25_44_yrs, f_cob_ns_45_54_yrs, p_france_45_54_yrs, p_croatia_5_14_yrs, f_cob_ns_85_yrs_ov, p_bosnia_herzegov_85_yrs_ov, p_bangladesh_5_14_yrs, p_bangladesh_0_4_yrs, f_elsewhere_75_84_yrs, p_cambodia_tot, p_bosnia_herzegov_45_54_yrs, p_afghanistan_85_yrs_ov, f_cob_ns_75_84_yrs, p_bosnia_herzegov_55_64_yrs, p_australia_85_yrs_ov, p_australia_5_14_yrs, p_china_tot, p_china_0_4_yrs, p_bangladesh_tot, p_canada_25_44_yrs, f_elsewhere_tot, p_bangladesh_75_84_yrs, f_vietnam_5_14_yrs, p_france_25_44_yrs, p_germany_5_14_yrs, p_egypt_tot, f_tot_5_14_yrs, f_wales_65_74_yrs, p_cambodia_65_74_yrs, p_bosnia_herzegov_tot, p_cambodia_55_64_yrs, p_cambodia_15_24_yrs, p_egypt_25_44_yrs, p_china_5_14_yrs, f_vietnam_15_24_yrs, p_egypt_65_74_yrs, p_egypt_15_24_yrs, p_bangladesh_55_64_yrs, p_england_25_44_yrs, p_afghanistan_25_44_yrs, p_france_85_yrs_ov, p_bangladesh_15_24_yrs, f_tot_15_24_yrs, p_australia_65_74_yrs, p_fiji_5_14_yrs, p_canada_tot, p_fiji_45_54_yrs, p_fiji_25_44_yrs, f_vietnam_tot, p_chile_55_64_yrs, p_bosnia_herzegov_75_84_yrs, p_croatia_0_4_yrs, f_elsewhere_55_64_yrs, p_germany_tot, p_bangladesh_45_54_yrs, f_zimbabwe_5_14_yrs, f_cob_ns_25_44_yrs, p_egypt_5_14_yrs, p_australia_tot, p_france_55_64_yrs, p_bosnia_herzegov_5_14_yrs, f_tot_45_54_yrs, p_cambodia_85_yrs_ov, p_bosnia_herzegov_65_74_yrs, p_croatia_85_yrs_ov, f_zimbabwe_45_54_yrs, p_canada_0_4_yrs, p_england_5_14_yrs, p_fiji_55_64_yrs, p_croatia_55_64_yrs, p_chile_65_74_yrs, p_australia_75_84_yrs, p_canada_75_84_yrs, f_vietnam_25_44_yrs, p_egypt_85_yrs_ov, p_canada_65_74_yrs, f_cob_ns_15_24_yrs, p_china_25_44_yrs, p_germany_85_yrs_ov, f_tot_tot, f_tot_85_yrs_ov, p_chile_0_4_yrs, p_bangladesh_65_74_yrs, f_vietnam_55_64_yrs, f_vietnam_75_84_yrs, p_chile_85_yrs_ov, p_england_0_4_yrs, p_chile_tot, p_croatia_65_74_yrs, p_england_85_yrs_ov, p_chile_75_84_yrs, p_france_5_14_yrs, f_wales_0_4_yrs, p_fiji_85_yrs_ov, f_zimbabwe_25_44_yrs, p_croatia_45_54_yrs, f_zimbabwe_15_24_yrs, p_england_65_74_yrs, p_germany_0_4_yrs, p_cambodia_5_14_yrs, p_croatia_75_84_yrs, p_canada_5_14_yrs, p_england_15_24_yrs, p_bangladesh_85_yrs_ov, p_england_45_54_yrs, p_england_55_64_yrs, f_vietnam_85_yrs_ov, p_china_45_54_yrs, p_chile_15_24_yrs, f_zimbabwe_85_yrs_ov, p_egypt_0_4_yrs, f_elsewhere_0_4_yrs, p_croatia_15_24_yrs, p_afghanistan_55_64_yrs, p_fiji_65_74_yrs, p_afghanistan_15_24_yrs, f_cob_ns_0_4_yrs, p_bosnia_herzegov_0_4_yrs, p_afghanistan_65_74_yrs, f_wales_45_54_yrs, f_cob_ns_5_14_yrs, p_fiji_15_24_yrs, p_china_15_24_yrs, f_wales_75_84_yrs, f_elsewhere_25_44_yrs, f_zimbabwe_65_74_yrs, p_chile_25_44_yrs, lga_name_2016, p_france_65_74_yrs, p_egypt_55_64_yrs, f_zimbabwe_tot, p_canada_15_24_yrs, p_croatia_tot, f_elsewhere_85_yrs_ov, f_elsewhere_65_74_yrs, p_bosnia_herzegov_25_44_yrs, f_elsewhere_45_54_yrs, f_wales_55_64_yrs, p_germany_45_54_yrs, p_fiji_0_4_yrs, p_france_75_84_yrs, p_canada_55_64_yrs, p_bangladesh_25_44_yrs, p_germany_55_64_yrs, f_wales_tot, f_cob_ns_55_64_yrs, p_cambodia_45_54_yrs, p_germany_15_24_yrs, p_chile_45_54_yrs, p_cambodia_75_84_yrs, f_tot_65_74_yrs, f_elsewhere_5_14_yrs, p_canada_85_yrs_ov, p_china_85_yrs_ov, p_australia_0_4_yrs, f_tot_25_44_yrs, p_germany_75_84_yrs
1594,0,11,0,3,1012,0,0,19,0,5219,0,4,0,9,41,0,10041,0,5909,5088,3,3,0,16,0,0,0,0,2034,224,0,0,14,34,97,0,"10050",1659,0,0,128,0,4,3327,0,224,6,0,105,0,10,3,48,9,0,0,233,0,940,5651,116,3,81,16,463,0,0,4,0,22,3117,3,0,9,0,0,8,8,0,3,0,0,126,4,0,3,3447,3672,0,48,6,15,22,0,0,0,50,248,4,3,475,3,41590,0,0,3329,0,0,3,0,0,32,11,7,4,2044,0,13,0,3,223,63,20,26411,841,0,0,0,0,0,6,15,13,64,0,0,0,0,10,4,3,217,0,0,17,0,41,0,195,208,0,19,0,0,0,0,0,0,3,6,109,0,0,3,152,3,10,0,168,0,0,"Albury (C)",0,3,17,0,48,15,60,0,72,3,19,0,0,7,66,45,17,281,0,3,6,0,2573,26,0,0,3023,6533,48
825,0,0,0,3,566,0,0,29,0,2832,4,4,4,0,33,3,4764,0,4374,2831,0,0,0,13,0,0,0,0,1250,127,5,0,9,40,17,0,"10130",893,0,0,77,0,0,1840,0,177,3,0,43,0,6,0,13,0,0,0,104,0,517,3216,277,3,55,16,297,0,4,16,3,3,1833,3,0,0,0,0,0,7,4,0,0,4,66,0,0,3,2725,2131,0,54,11,9,30,0,0,0,22,103,5,0,263,0,23396,4,0,1889,0,0,0,0,0,19,6,0,0,1235,3,18,0,8,241,98,8,15220,426,0,0,0,0,0,4,9,0,15,0,3,0,0,5,0,3,148,0,0,0,0,35,0,90,114,0,25,0,0,0,14,0,0,0,0,53,0,0,4,92,4,145,0,115,0,3,"Armidale Regional (A)",0,0,16,7,5,3,19,0,27,0,22,0,0,6,34,22,15,155,0,13,5,0,1400,47,0,0,1507,3402,7
997,0,4,0,4,1421,0,0,44,0,4515,0,4,3,0,44,3,6609,0,3529,5144,0,0,0,21,0,3,0,0,1660,220,0,0,15,10,44,0,"10250",1773,0,0,215,0,4,3398,0,234,4,0,152,0,0,0,18,4,0,0,179,0,1296,4375,62,0,3,28,206,0,0,25,0,5,2294,4,0,0,0,3,0,5,0,3,0,0,194,0,3,0,1925,4200,0,91,8,17,15,3,0,0,29,141,0,0,308,0,33984,8,0,3060,0,0,0,10,3,55,13,0,8,2403,7,11,0,20,108,23,6,21658,1104,0,0,0,0,0,14,30,0,93,3,3,0,3,3,3,0,325,0,3,6,3,35,0,256,230,0,15,0,0,0,3,0,0,8,0,70,0,0,5,135,0,6,12,59,3,11,"Ballina (A)",3,3,21,5,12,11,31,0,38,6,13,0,0,11,3,17,29,263,0,3,7,0,2805,9,0,0,1918,4308,25
71,0,0,0,0,18,0,0,0,0,241,0,0,0,0,14,0,403,0,221,293,0,0,0,0,0,0,0,0,131,7,0,0,0,6,0,0,"10300",76,0,0,0,0,0,186,0,12,0,0,4,0,0,0,0,0,0,0,12,0,23,298,4,0,0,0,12,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,157,0,0,0,3,0,0,0,0,0,3,0,0,29,0,1869,0,0,132,0,0,0,0,0,0,0,0,0,93,0,0,0,0,13,0,0,1115,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,0,0,0,7,0,0,"Balranald (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,86,0,0,0,137,262,0
1209,0,14,0,6,802,0,0,27,0,4246,0,9,0,9,49,0,8423,0,5284,4030,0,6,0,13,0,0,0,0,1670,194,0,3,13,18,39,0,"10470",1137,0,0,109,6,0,2517,3,198,7,0,122,0,3,0,8,10,0,0,158,0,616,5147,121,0,37,17,132,0,0,5,0,19,2691,0,0,9,0,0,11,5,0,3,7,3,102,9,0,3,3000,2908,3,58,12,12,24,0,0,0,18,99,0,0,313,0,34538,3,0,2665,0,3,0,7,0,17,12,6,3,1489,3,13,0,7,274,53,4,20605,600,0,0,0,0,0,0,12,5,37,0,0,0,0,3,3,3,202,0,0,3,4,48,0,124,162,0,17,0,0,0,0,0,0,6,0,52,0,0,6,129,4,17,3,37,0,3,"Bathurst Regional (A)",4,0,13,3,21,8,15,0,23,4,13,0,0,4,22,12,11,220,0,0,3,0,1951,6,0,0,2393,4833,15
718,0,0,0,0,1437,0,0,25,0,3632,0,0,0,0,16,0,4617,0,2693,4709,0,0,0,14,0,0,0,0,1520,227,0,0,7,0,83,0,"10550",1298,0,0,223,3,5,3174,0,242,10,0,93,0,0,0,27,4,0,0,151,0,668,3469,37,0,3,19,187,0,0,8,6,14,1844,9,0,0,3,0,3,4,0,3,0,0,79,0,0,0,1451,3570,0,54,3,3,12,6,0,0,36,238,0,0,263,0,26446,3,0,2450,0,0,0,0,0,19,0,0,3,1710,3,8,3,10,107,13,16,17001,621,0,0,0,0,0,3,12,6,86,0,0,0,0,0,0,0,464,0,0,6,3,18,0,188,364,0,10,0,0,0,0,0,0,0,0,39,0,0,0,124,0,0,3,36,0,0,"Bega Valley (A)",3,4,7,3,16,4,48,0,35,4,33,0,7,8,3,48,14,282,0,0,3,0,2504,3,0,0,1373,2953,40
304,0,0,0,5,568,0,0,26,0,1400,3,0,0,0,8,0,1854,0,1007,1721,0,0,0,6,0,0,0,0,522,86,0,0,4,0,31,0,"10600",477,0,0,73,0,0,1161,0,77,3,0,31,0,0,0,9,0,0,0,50,0,268,1433,8,0,0,7,90,0,0,6,3,3,801,3,0,0,0,0,0,0,0,0,0,0,54,0,0,0,521,1241,0,28,0,3,3,0,0,0,14,91,0,0,92,0,10173,4,0,1002,0,0,0,3,0,18,4,0,0,670,3,3,0,4,25,0,6,6548,233,0,0,0,0,0,3,10,0,30,0,3,0,0,0,0,0,146,0,0,0,0,16,0,110,117,0,3,0,0,0,0,0,0,0,0,16,0,0,6,52,0,0,0,18,0,6,"Bellingen (A)",9,0,7,0,0,3,20,0,10,8,7,0,0,4,0,30,18,90,0,0,0,0,857,0,3,0,571,1184,10
219,0,0,0,0,168,0,0,0,0,751,0,0,0,0,0,0,1265,0,650,1052,0,0,0,4,0,0,0,0,465,74,0,0,0,0,18,0,"10650",360,0,0,43,0,0,664,0,59,0,0,27,0,0,0,6,0,0,0,44,0,248,855,10,0,0,3,32,0,0,0,0,6,482,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,355,1065,0,11,0,3,0,0,0,0,6,39,0,0,87,0,6866,0,0,490,0,0,0,0,0,3,0,0,0,557,0,0,0,0,36,4,7,4236,182,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,54,0,0,0,4,0,0,19,29,0,7,0,0,0,3,0,0,0,0,18,0,0,0,38,0,0,0,7,0,0,"Berrigan (A)",0,0,5,3,0,0,7,0,6,0,0,0,0,0,0,5,0,79,0,0,0,0,662,0,0,0,414,820,4
13245,4,822,132,15,5287,0,29,167,8,17193,0,363,14,2342,7080,184,43921,0,30721,12728,36,70,0,103,0,6,337,6,9394,830,0,70,50,918,340,0,"10750",5348,283,27,548,109,186,17289,121,1211,37,4,203,5,161,34,399,141,109,8,491,110,1248,40312,4658,27,2427,115,7972,7,4,43,15,1955,24010,12,13,506,20,8,477,114,27,316,149,209,920,1118,4,150,22285,8033,179,294,1499,3009,559,125,37,0,1133,952,322,7,2712,164,182150,30,3,21208,0,67,58,29,0,235,1070,199,142,3564,4,218,51,15,1084,1898,95,169390,2303,3,52,138,14,18,28,668,262,171,38,6,0,35,74,177,35,1044,0,0,196,32,167,0,1066,1104,7,840,16,0,18,94,18,271,532,391,628,3,111,14,1161,558,335,7,2624,3,182,"Blacktown (C)",24,367,165,63,1025,232,707,144,1439,19,93,17,8,26,1495,96,58,1078,25,55,148,3,11152,426,3,67,24438,52554,155
184,0,0,0,0,73,0,0,0,0,562,0,0,0,0,0,0,1049,0,517,697,0,0,0,0,0,0,0,0,393,43,0,0,0,0,0,0,"10800",242,0,0,10,0,0,405,0,48,0,0,46,0,0,0,0,0,0,0,49,0,140,768,10,0,0,3,14,0,0,0,0,0,441,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,291,500,0,10,0,0,0,0,0,0,0,6,0,0,66,0,4890,0,0,355,0,0,0,0,0,3,0,0,0,337,0,0,0,0,31,3,0,2988,135,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,19,0,0,0,3,3,0,12,22,0,4,0,0,0,0,0,0,0,0,12,0,0,0,41,0,0,0,3,0,0,"Bland (A)",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,50,0,0,0,0,300,0,0,0,323,629,0
