p_iran_tot, p_ireland_65_74_yrs, p_korea_south_5_14_yrs, p_nthern_ireland_25_44_yrs, p_hong_kong_5_14_yrs, p_italy_75_84_yrs, p_italy_0_4_yrs, p_iraq_0_4_yrs, p_iraq_75_84_yrs, p_myanmar_25_44_yrs, p_japan_65_74_yrs, p_pakistan_0_4_yrs, p_myanmar_0_4_yrs, p_myanmar_75_84_yrs, p_new_zealand_0_4_yrs, p_india_55_64_yrs, p_nepal_45_54_yrs, p_myanmar_55_64_yrs, p_japan_45_54_yrs, p_iran_25_44_yrs, p_greece_5_14_yrs, p_netherlands_0_4_yrs, p_myanmar_45_54_yrs, p_ireland_55_64_yrs, p_malaysia_tot, p_nthern_ireland_5_14_yrs, p_malta_85_yrs_ov, p_malta_65_74_yrs, p_myanmar_65_74_yrs, p_iraq_55_64_yrs, p_hong_kong_85_yrs_ov, lga_code_2016, p_myanmar_5_14_yrs, p_korea_south_0_4_yrs, p_indonesia_85_yrs_ov, p_netherlands_5_14_yrs, p_malta_15_24_yrs, p_myanmar_15_24_yrs, p_korea_south_15_24_yrs, p_malta_55_64_yrs, p_lebanon_75_84_yrs, p_iraq_tot, p_italy_25_44_yrs, p_korea_south_tot, p_ireland_0_4_yrs, p_lebanon_0_4_yrs, p_nthern_ireland_75_84_yrs, p_mauritius_tot, p_nthern_ireland_0_4_yrs, p_iraq_15_24_yrs, p_indonesia_75_84_yrs, p_nepal_55_64_yrs, p_ireland_85_yrs_ov, p_netherlands_75_84_yrs, p_pakistan_55_64_yrs, p_iran_65_74_yrs, p_iran_75_84_yrs, p_india_45_54_yrs, p_malaysia_25_44_yrs, p_hong_kong_15_24_yrs, p_pakistan_15_24_yrs, p_greece_tot, p_india_65_74_yrs, p_ireland_75_84_yrs, p_hong_kong_45_54_yrs, p_mauritius_25_44_yrs, p_malta_25_44_yrs, p_nepal_15_24_yrs, p_india_75_84_yrs, p_hong_kong_0_4_yrs, p_myanmar_tot, p_greece_65_74_yrs, p_hong_kong_tot, p_malaysia_45_54_yrs, p_iran_5_14_yrs, p_iran_45_54_yrs, p_mauritius_85_yrs_ov, p_nepal_5_14_yrs, p_nepal_65_74_yrs, p_japan_tot, p_new_zealand_25_44_yrs, p_hong_kong_25_44_yrs, p_iran_0_4_yrs, p_iran_85_yrs_ov, p_japan_55_64_yrs, p_indonesia_65_74_yrs, p_japan_0_4_yrs, p_india_0_4_yrs, p_ireland_15_24_yrs, p_japan_5_14_yrs, p_mauritius_75_84_yrs, p_pakistan_tot, p_nepal_0_4_yrs, p_netherlands_tot, p_iran_15_24_yrs, p_korea_south_45_54_yrs, p_nthern_ireland_15_24_yrs, p_iraq_25_44_yrs, p_indonesia_5_14_yrs, p_myanmar_85_yrs_ov, p_pakistan_45_54_yrs, p_korea_south_85_yrs_ov, p_new_zealand_45_54_yrs, p_indonesia_0_4_yrs, p_indonesia_25_44_yrs, p_lebanon_15_24_yrs, p_netherlands_15_24_yrs, p_pakistan_25_44_yrs, p_greece_25_44_yrs, p_nthern_ireland_85_yrs_ov, p_nepal_85_yrs_ov, p_nthern_ireland_65_74_yrs, p_indonesia_15_24_yrs, p_lebanon_85_yrs_ov, p_ireland_45_54_yrs, p_mauritius_5_14_yrs, p_mauritius_0_4_yrs, p_netherlands_65_74_yrs, p_korea_south_25_44_yrs, p_nepal_75_84_yrs, p_japan_15_24_yrs, p_iraq_85_yrs_ov, p_iraq_5_14_yrs, p_hong_kong_75_84_yrs, p_new_zealand_55_64_yrs, p_ireland_25_44_yrs, p_indonesia_45_54_yrs, p_mauritius_55_64_yrs, p_malta_75_84_yrs, p_new_zealand_75_84_yrs, p_malaysia_5_14_yrs, p_new_zealand_tot, p_india_5_14_yrs, p_indonesia_55_64_yrs, p_malaysia_0_4_yrs, p_greece_75_84_yrs, p_india_85_yrs_ov, p_new_zealand_5_14_yrs, p_italy_85_yrs_ov, p_malaysia_65_74_yrs, p_netherlands_85_yrs_ov, p_nthern_ireland_45_54_yrs, p_korea_south_55_64_yrs, p_iraq_45_54_yrs, p_greece_55_64_yrs, p_japan_25_44_yrs, p_malta_tot, p_malaysia_15_24_yrs, p_malaysia_75_84_yrs, p_new_zealand_65_74_yrs, p_malta_5_14_yrs, p_nthern_ireland_55_64_yrs, p_italy_65_74_yrs, p_netherlands_45_54_yrs, p_indonesia_tot, p_iran_55_64_yrs, p_pakistan_85_yrs_ov, p_italy_5_14_yrs, p_lebanon_5_14_yrs, p_mauritius_65_74_yrs, p_india_15_24_yrs, p_italy_15_24_yrs, p_greece_45_54_yrs, p_korea_south_65_74_yrs, p_greece_15_24_yrs, p_greece_85_yrs_ov, p_greece_0_4_yrs, p_nepal_25_44_yrs, p_new_zealand_15_24_yrs, p_malta_0_4_yrs, p_lebanon_65_74_yrs, p_lebanon_tot, p_malaysia_55_64_yrs, p_iraq_65_74_yrs, p_italy_45_54_yrs, p_korea_south_75_84_yrs, lga_name_2016, p_japan_85_yrs_ov, p_india_tot, p_nepal_tot, p_malaysia_85_yrs_ov, p_japan_75_84_yrs, p_lebanon_45_54_yrs, p_pakistan_5_14_yrs, p_hong_kong_55_64_yrs, p_italy_tot, p_pakistan_65_74_yrs, p_lebanon_55_64_yrs, p_ireland_5_14_yrs, p_lebanon_25_44_yrs, p_new_zealand_85_yrs_ov, p_nthern_ireland_tot, p_mauritius_15_24_yrs, p_netherlands_55_64_yrs, p_netherlands_25_44_yrs, p_hong_kong_65_74_yrs, p_mauritius_45_54_yrs, p_pakistan_75_84_yrs, p_ireland_tot, p_india_25_44_yrs, p_italy_55_64_yrs, p_malta_45_54_yrs
28,8,0,4,3,19,0,0,0,3,0,0,0,0,6,18,3,0,0,14,0,0,0,0,43,0,0,3,0,0,0,"10050",0,0,0,8,0,0,9,3,0,4,0,34,0,0,7,6,0,0,3,0,0,46,0,0,0,26,22,3,0,54,11,16,0,3,0,79,7,3,7,16,38,9,3,4,0,65,0,18,132,9,0,0,0,0,0,14,0,0,0,32,9,197,0,0,0,0,0,0,4,0,121,0,3,0,0,22,3,0,0,5,0,0,10,0,0,70,22,0,0,0,0,0,107,19,3,0,3,27,3,540,51,0,0,21,0,27,7,0,17,0,0,0,8,9,13,4,3,68,0,0,20,12,16,5,0,0,0,0,23,0,4,0,0,11,0,44,42,0,0,13,3,0,4,0,"Albury (C)",0,559,200,0,0,4,3,9,73,0,3,7,6,3,12,0,30,14,3,0,0,66,407,12,0
47,6,0,3,0,0,0,12,0,7,0,0,0,0,0,6,6,0,11,32,3,3,4,3,39,0,0,0,0,0,0,"10130",3,0,3,0,0,0,0,0,0,89,3,12,0,0,0,0,0,5,0,0,0,7,0,3,0,15,8,3,7,10,3,4,5,0,0,31,4,0,12,0,26,8,3,5,0,0,0,29,65,14,0,0,6,3,0,9,0,0,0,32,0,64,5,0,0,46,3,0,3,0,66,0,11,0,0,20,0,0,0,4,3,0,10,0,0,18,10,0,3,0,22,0,58,8,12,0,0,10,6,313,9,3,0,0,0,27,3,4,5,0,0,6,0,6,3,4,3,32,0,0,6,6,35,0,0,0,0,0,17,3,3,0,0,0,0,114,46,0,4,6,4,0,3,0,"Armidale Regional (A)",0,163,151,0,0,0,0,4,23,0,0,0,4,5,11,0,17,5,5,0,0,34,99,6,0
13,12,0,0,3,25,0,0,0,3,5,0,0,0,6,5,0,0,13,3,0,0,0,13,52,0,3,14,0,0,0,"10250",0,0,0,4,0,0,3,4,0,0,13,25,0,0,0,7,0,0,0,0,5,20,0,3,0,9,11,0,0,12,7,5,6,0,0,0,6,0,4,0,22,14,0,4,0,0,0,58,172,4,0,3,5,3,0,3,0,10,0,6,0,152,0,5,0,0,4,0,0,0,123,0,17,0,0,0,0,0,0,4,0,0,11,0,0,45,20,0,7,0,0,0,147,25,3,4,3,38,0,657,6,7,0,0,3,29,14,9,19,3,0,0,3,23,27,4,3,95,0,9,21,15,33,4,0,0,0,0,6,0,0,0,0,3,0,8,36,0,0,4,12,0,9,0,"Ballina (A)",4,107,8,0,0,0,0,6,92,0,3,3,0,14,16,0,31,16,0,0,0,71,67,15,0
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,"10300",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Balranald (A)",0,7,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0
25,6,3,0,7,6,0,0,0,4,4,0,0,0,3,13,4,0,6,12,0,0,0,9,46,0,0,5,0,0,0,"10470",0,0,0,0,0,0,3,6,0,14,0,24,0,0,0,8,0,6,3,0,0,25,0,0,0,15,22,4,0,20,11,6,0,3,0,9,0,0,4,7,23,12,3,5,0,9,0,26,127,9,0,0,3,0,0,4,0,3,0,30,0,104,0,6,0,3,0,0,3,0,97,0,7,3,0,18,0,0,0,5,3,0,11,0,0,38,15,0,6,0,0,0,67,18,0,0,3,9,3,436,14,0,0,3,0,24,6,4,10,7,0,6,3,9,26,5,0,53,0,4,12,7,17,0,0,0,0,0,13,0,0,0,0,0,0,36,46,0,7,38,0,0,3,0,"Bathurst Regional (A)",0,172,52,0,3,5,3,3,46,0,9,7,11,9,19,0,17,12,0,0,0,61,109,13,3
8,18,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,31,0,0,16,0,0,0,"10550",0,0,3,0,0,0,0,5,0,0,3,17,3,0,7,6,0,0,5,0,3,53,0,0,0,8,7,0,0,18,3,7,0,0,0,0,9,0,0,7,8,12,0,3,0,3,0,23,55,3,0,0,3,8,0,0,3,3,0,3,0,204,0,4,0,0,0,0,0,0,79,0,3,0,0,0,0,4,0,10,0,0,6,0,0,81,11,0,0,0,0,3,130,12,0,0,9,24,0,375,0,3,0,0,0,12,0,5,21,3,0,0,9,5,30,0,3,58,0,6,16,16,23,0,0,0,0,3,3,0,4,0,0,0,0,3,7,0,0,3,4,0,6,0,"Bega Valley (A)",0,46,8,0,0,0,0,3,54,0,0,4,0,8,28,0,33,7,0,0,0,61,14,11,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,14,0,0,0,0,0,0,"10600",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,5,45,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,34,0,7,0,4,0,0,0,0,3,0,0,3,0,0,18,3,0,0,0,0,3,49,3,0,0,0,10,0,169,0,0,0,0,0,3,0,0,4,3,0,0,0,3,0,0,0,28,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,7,0,"Bellingen (A)",0,23,0,0,0,0,0,4,11,0,0,4,0,0,5,0,7,3,0,0,0,24,12,0,0
0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,"10650",0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,17,0,0,0,0,3,3,93,0,0,4,0,0,5,0,0,3,0,0,3,0,0,3,0,0,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,"Berrigan (A)",0,22,3,0,0,0,0,0,9,0,0,0,0,0,7,0,13,0,0,0,0,7,10,0,0
1550,117,65,27,20,291,3,9,23,297,8,113,5,26,147,1665,97,110,26,708,13,0,208,84,1341,3,128,898,79,194,5,"10750",25,11,15,9,8,71,133,573,85,1684,73,1478,5,8,27,679,0,273,47,59,4,108,285,98,38,2866,422,81,530,692,790,48,166,140,79,169,329,4,820,199,944,230,81,255,29,92,11,145,3049,290,5,10,9,124,4,296,16,20,65,4111,5,492,156,289,6,673,47,5,562,18,1081,4,637,69,15,2036,45,9,0,54,109,21,90,11,0,161,527,7,17,7,98,20,727,180,271,168,420,69,56,8040,1514,238,14,156,81,1016,109,176,44,47,227,327,145,62,2269,88,52,291,4,31,388,36,1483,202,4,11,18,122,2623,22,74,138,26,38,3,951,1642,3,267,1845,291,81,151,67,"Blacktown (C)",0,25761,1388,13,4,412,442,277,1291,104,419,56,541,20,211,22,89,36,78,115,34,613,15605,240,155
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,"10800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Bland (A)",0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0
