p_usa_45_54_yrs, p_singapore_55_64_yrs, p_south_africa_85_yrs_ov, p_cob_ns_tot, p_scotland_tot, p_turkey_65_74_yrs, p_scotland_25_44_yrs, p_south_africa_15_24_yrs, p_png_15_24_yrs, p_turkey_75_84_yrs, p_se_europe_nfd_0_4_yrs, p_tot_45_54_yrs, p_scotland_0_4_yrs, p_poland_tot, p_zimbabwe_85_yrs_ov, p_sri_lanka_25_44_yrs, p_philippines_45_54_yrs, p_zimbabwe_65_74_yrs, p_wales_55_64_yrs, p_png_5_14_yrs, p_vietnam_0_4_yrs, p_tot_55_64_yrs, p_elsewhere_45_54_yrs, p_fyrom_45_54_yrs, p_zimbabwe_0_4_yrs, p_poland_0_4_yrs, p_se_europe_nfd_5_14_yrs, p_fyrom_55_64_yrs, p_turkey_25_44_yrs, p_thailand_5_14_yrs, p_fyrom_25_44_yrs, p_elsewhere_25_44_yrs, p_se_europe_nfd_65_74_yrs, p_wales_tot, p_philippines_0_4_yrs, p_vietnam_55_64_yrs, p_tot_15_24_yrs, p_taiwan_15_24_yrs, p_se_europe_nfd_25_44_yrs, p_cob_ns_25_44_yrs, p_wales_75_84_yrs, p_south_africa_0_4_yrs, p_turkey_tot, p_elsewhere_75_84_yrs, p_zimbabwe_25_44_yrs, p_philippines_85_yrs_ov, p_fyrom_0_4_yrs, p_taiwan_45_54_yrs, p_taiwan_tot, p_philippines_5_14_yrs, p_sri_lanka_5_14_yrs, p_se_europe_nfd_15_24_yrs, p_singapore_45_54_yrs, p_vietnam_5_14_yrs, p_thailand_45_54_yrs, p_cob_ns_45_54_yrs, p_elsewhere_tot, p_png_45_54_yrs, p_wales_5_14_yrs, p_singapore_65_74_yrs, p_singapore_15_24_yrs, p_tot_75_84_yrs, p_poland_85_yrs_ov, lga_code_2016, p_scotland_65_74_yrs, p_singapore_tot, p_cob_ns_75_84_yrs, p_png_85_yrs_ov, p_usa_25_44_yrs, p_thailand_55_64_yrs, p_taiwan_25_44_yrs, p_singapore_25_44_yrs, p_png_65_74_yrs, p_singapore_5_14_yrs, p_tot_tot, p_sri_lanka_15_24_yrs, p_fyrom_75_84_yrs, p_cob_ns_15_24_yrs, p_cob_ns_5_14_yrs, p_philippines_tot, p_philippines_25_44_yrs, p_scotland_75_84_yrs, p_thailand_25_44_yrs, p_sri_lanka_45_54_yrs, p_south_africa_55_64_yrs, p_poland_65_74_yrs, p_poland_55_64_yrs, p_singapore_0_4_yrs, p_tot_0_4_yrs, p_scotland_55_64_yrs, p_sri_lanka_0_4_yrs, p_png_tot, p_singapore_75_84_yrs, p_se_europe_nfd_85_yrs_ov, p_turkey_55_64_yrs, p_south_africa_45_54_yrs, p_zimbabwe_55_64_yrs, p_taiwan_75_84_yrs, p_south_africa_65_74_yrs, p_fyrom_5_14_yrs, p_taiwan_0_4_yrs, p_wales_65_74_yrs, p_scotland_15_24_yrs, p_elsewhere_65_74_yrs, p_wales_15_24_yrs, p_vietnam_45_54_yrs, p_wales_85_yrs_ov, p_thailand_65_74_yrs, p_usa_85_yrs_ov, p_thailand_tot, p_png_55_64_yrs, p_scotland_85_yrs_ov, p_usa_65_74_yrs, p_scotland_45_54_yrs, p_philippines_55_64_yrs, p_cob_ns_0_4_yrs, p_vietnam_25_44_yrs, p_elsewhere_85_yrs_ov, p_sri_lanka_85_yrs_ov, p_taiwan_55_64_yrs, p_vietnam_15_24_yrs, p_tot_65_74_yrs, p_tot_25_44_yrs, p_singapore_85_yrs_ov, p_poland_75_84_yrs, p_poland_45_54_yrs, p_tot_5_14_yrs, p_usa_55_64_yrs, p_usa_tot, p_elsewhere_5_14_yrs, p_taiwan_5_14_yrs, p_fyrom_65_74_yrs, p_se_europe_nfd_75_84_yrs, p_thailand_15_24_yrs, p_sri_lanka_55_64_yrs, p_south_africa_tot, p_zimbabwe_tot, p_turkey_15_24_yrs, p_usa_15_24_yrs, p_usa_0_4_yrs, p_taiwan_85_yrs_ov, p_fyrom_tot, p_wales_25_44_yrs, p_fyrom_85_yrs_ov, p_philippines_15_24_yrs, p_vietnam_75_84_yrs, p_cob_ns_65_74_yrs, p_thailand_85_yrs_ov, p_elsewhere_15_24_yrs, p_sri_lanka_75_84_yrs, p_png_75_84_yrs, p_sri_lanka_65_74_yrs, p_south_africa_25_44_yrs, p_png_0_4_yrs, lga_name_2016, p_sri_lanka_tot, p_thailand_0_4_yrs, p_elsewhere_55_64_yrs, p_turkey_45_54_yrs, p_turkey_85_yrs_ov, p_scotland_5_14_yrs, p_cob_ns_85_yrs_ov, p_png_25_44_yrs, p_cob_ns_55_64_yrs, p_vietnam_tot, p_se_europe_nfd_tot, p_poland_25_44_yrs, p_taiwan_65_74_yrs, p_se_europe_nfd_55_64_yrs, p_usa_5_14_yrs, p_tot_85_yrs_ov, p_poland_5_14_yrs, p_zimbabwe_5_14_yrs, p_elsewhere_0_4_yrs, p_fyrom_15_24_yrs, p_thailand_75_84_yrs, p_usa_75_84_yrs, p_vietnam_65_74_yrs, p_philippines_65_74_yrs, p_turkey_0_4_yrs, p_zimbabwe_75_84_yrs, p_wales_45_54_yrs, p_poland_15_24_yrs, p_turkey_5_14_yrs, p_south_africa_75_84_yrs, p_zimbabwe_45_54_yrs, p_wales_0_4_yrs, p_south_africa_5_14_yrs, p_se_europe_nfd_45_54_yrs, p_zimbabwe_15_24_yrs, p_vietnam_85_yrs_ov, p_philippines_75_84_yrs
15,3,4,3949,163,0,17,21,0,0,0,6497,0,37,0,56,48,0,11,0,0,6372,136,0,0,0,0,0,0,6,0,298,9,45,3,0,6755,0,3,946,0,0,0,86,10,0,0,0,4,25,9,0,5,5,11,473,860,12,0,0,0,2913,13,"10050",38,21,382,0,32,6,3,9,0,0,51076,9,0,463,331,283,112,28,30,11,15,7,7,3,3286,41,5,20,0,6,0,33,3,0,10,0,0,15,0,114,0,3,0,0,0,63,3,8,9,24,37,193,19,38,0,0,3,4907,12697,0,3,0,6328,18,102,42,0,0,9,7,10,132,32,0,13,0,0,3,10,0,27,0,442,0,44,0,0,0,40,0,"Albury (C)",102,0,96,0,0,0,184,7,531,35,29,7,0,3,8,1329,0,4,5,0,0,3,3,19,0,0,7,0,0,6,4,0,10,5,8,0,0
21,4,0,2425,97,0,8,21,3,0,0,3657,0,10,0,31,12,0,3,3,0,3552,60,0,0,0,0,0,0,3,0,245,0,32,0,0,5352,5,0,523,0,0,4,21,10,0,0,0,43,11,9,0,0,8,0,341,594,11,9,0,0,1595,0,"10130",25,24,184,0,34,0,34,5,0,9,29449,8,0,471,185,154,85,9,16,5,12,0,3,0,1669,17,0,48,3,0,0,22,3,0,8,0,0,6,10,37,0,4,4,0,0,32,4,4,23,14,13,93,33,3,0,0,5,2747,6560,0,3,0,3667,29,148,73,0,0,0,3,9,89,24,0,18,7,0,0,7,0,23,0,247,0,75,4,0,0,22,0,"Armidale Regional (A)",63,0,48,0,0,5,69,18,309,50,0,3,0,0,17,649,0,0,29,0,0,4,0,0,0,0,9,0,0,3,6,0,9,0,7,0,0
32,3,6,3195,172,0,20,13,3,0,0,5759,0,20,0,5,15,8,12,0,0,6434,64,0,0,0,0,0,6,6,0,113,5,53,0,0,3953,0,0,582,10,0,5,42,5,0,0,0,4,8,0,0,5,3,15,466,404,27,0,0,0,3203,4,"10250",43,25,323,0,34,3,6,7,3,0,41790,0,0,246,272,110,40,26,25,3,33,3,3,3,2072,27,0,68,0,0,0,45,3,0,43,0,0,15,8,68,0,8,3,0,0,68,19,8,25,27,20,121,14,18,3,0,0,5503,8243,0,0,0,4856,28,146,17,0,0,0,12,5,232,33,0,7,0,0,0,6,0,7,0,437,0,14,0,0,6,49,0,"Ballina (A)",27,0,66,0,0,6,233,14,522,30,11,3,0,0,10,1755,0,3,3,0,0,9,0,13,0,0,4,0,0,22,10,0,11,0,0,0,3
0,0,0,281,4,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,377,3,0,0,0,0,0,0,0,0,10,0,0,0,0,264,0,0,59,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,36,20,0,0,0,0,131,0,"10300",0,0,25,0,0,6,4,0,0,0,2287,0,0,30,29,3,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,202,503,0,0,0,336,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,6,0,0,0,0,0,"Balranald (A)",0,0,0,0,0,0,9,0,53,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,0,3195,162,0,15,16,0,0,0,5238,3,19,0,18,24,3,3,0,3,4991,51,5,0,0,0,0,0,0,0,78,3,21,8,0,6125,0,0,637,3,0,0,26,4,0,0,0,3,15,7,0,5,3,9,397,297,15,0,3,0,2019,0,"10470",39,22,263,0,22,3,0,7,0,0,41300,6,0,533,254,155,63,27,27,17,9,3,5,0,2546,39,0,29,3,0,0,13,6,0,11,0,0,3,10,44,0,12,0,0,0,49,6,4,6,28,16,120,33,13,0,0,8,3862,10051,0,6,0,5571,7,72,10,0,0,4,7,3,103,21,0,10,3,0,8,0,0,18,0,390,0,32,0,0,5,36,0,"Bathurst Regional (A)",47,0,46,0,0,4,174,11,428,65,14,0,0,3,7,892,0,0,4,0,0,0,0,4,0,0,11,0,0,0,5,0,4,4,4,0,3
12,7,6,2946,159,0,8,3,0,0,0,4648,0,25,0,0,22,6,12,0,0,6154,56,0,0,0,0,0,0,3,0,59,0,38,4,0,2982,0,0,499,5,0,5,60,0,4,0,0,3,7,0,0,3,0,8,472,359,11,0,0,0,2546,3,"10550",64,16,293,0,28,8,3,4,4,0,33253,0,0,219,235,120,38,33,29,0,20,3,4,3,1468,39,0,18,0,0,0,6,3,0,18,0,0,11,0,85,0,3,0,0,3,59,5,6,39,14,29,75,13,15,0,0,0,5060,5601,0,6,4,3789,28,131,11,0,0,9,9,0,85,11,0,4,0,0,4,3,0,3,0,449,0,7,0,0,3,19,0,"Bega Valley (A)",11,3,66,0,0,0,133,4,568,20,16,5,0,5,8,999,0,0,3,0,0,7,0,5,0,0,7,0,0,10,0,0,3,0,0,0,3
12,0,0,1005,65,0,8,0,0,0,0,1824,0,5,0,0,9,0,7,0,0,2240,25,0,0,0,0,0,0,0,0,29,0,26,0,0,1115,0,0,173,0,0,3,20,0,0,0,0,3,0,0,0,3,0,0,154,152,3,0,0,0,924,0,"10600",20,7,91,0,8,0,0,3,0,0,12668,0,0,67,117,20,3,13,7,0,9,4,0,0,605,14,0,14,0,0,0,9,5,0,4,0,0,6,0,25,0,0,3,0,0,7,3,6,17,10,6,26,3,3,0,0,0,1718,2276,0,0,0,1594,13,50,7,0,0,0,0,0,44,7,0,3,0,0,0,7,0,0,0,148,0,3,0,0,0,13,0,"Bellingen (A)",0,0,30,3,0,0,40,3,188,3,0,0,0,0,0,368,0,0,3,0,0,3,0,0,0,0,5,0,0,6,3,0,0,0,0,0,0
0,0,0,948,38,0,8,0,0,0,0,936,0,3,0,12,8,0,0,0,0,1304,8,0,0,0,0,0,0,0,0,12,0,5,3,0,756,0,0,182,3,0,0,4,3,0,0,0,0,5,6,0,0,0,0,106,55,0,0,0,0,739,0,"10650",14,0,104,0,3,0,0,0,0,0,8462,0,0,88,85,44,11,3,3,0,0,0,0,0,471,7,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,0,0,0,0,3,0,0,3,7,10,45,0,3,0,0,0,1370,1596,0,0,0,972,0,10,7,3,0,0,0,0,17,4,0,0,0,0,0,0,0,3,0,154,0,0,0,0,0,8,0,"Berrigan (A)",15,0,7,0,0,0,36,0,150,0,3,0,0,0,0,313,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
102,97,11,18522,894,145,95,221,16,44,0,42063,0,932,0,2182,4494,5,30,0,3,33702,2861,38,0,0,0,51,413,42,33,5059,111,124,130,239,46120,26,80,5329,25,10,1335,773,127,203,0,28,287,998,232,4,82,7,100,2451,15616,42,5,49,76,9674,150,"10750",211,541,850,0,259,58,148,128,4,74,336962,385,17,2263,2280,21917,8231,128,312,843,262,155,225,16,26928,203,38,143,15,29,214,357,29,0,138,0,8,28,18,1412,0,216,3,18,0,621,23,50,33,168,3757,1300,374,341,45,52,41,21536,103650,8,95,100,49739,74,816,878,8,42,102,77,668,1787,324,90,170,24,3,192,22,0,2069,19,1571,0,1855,140,4,372,616,0,"Blacktown (C)",4895,10,2290,393,5,19,350,50,2122,990,525,181,18,116,146,3553,10,13,154,3,7,7,72,1657,11,0,21,15,15,62,62,0,113,84,80,12,378
3,0,0,769,0,0,0,0,7,0,0,709,0,0,0,0,4,0,0,6,0,866,5,0,0,0,0,0,0,0,0,8,0,3,0,0,599,0,0,142,0,0,0,3,4,0,0,0,3,3,3,0,0,0,0,96,29,0,0,0,0,442,0,"10800",0,0,85,0,0,0,3,0,0,0,5955,0,0,65,79,20,9,0,0,0,3,0,0,0,351,0,0,25,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,29,3,0,0,0,0,626,1269,0,0,0,876,0,5,6,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,6,5,"Bland (A)",7,0,8,0,0,0,69,7,112,4,0,0,0,0,0,211,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
