school_cost,acara_sml_id
9717.5,48096
24616.25,43762
6267.5,45704
5455.75,46353
1680.0,50603
2161.0,43958
2923.5,43741
2440.875,46390
3325.0,43946
1920.0,50593
1400.0,49106
2672.5,46309
10378.5,52381
1500.0,50319
8762.5,47882
7413.0,48002
1200.0,45736
15391.875,49049
970.0,47743
5347.5,48001
9098.375,46316
8075.0,47720
18789.5,47996
3756.25,48048
6603.75,49808
840.0,45973
2640.0,46112
2850.0,49781
3637.5,47860
5497.5,45947
12447.0,48916
4182.75,48911
3655.0,48965
5745.0,43960
3488.75,47859
1489.5,48977
6018.0,45647
2730.0,47894
2500.0,52488
1894.125,50318
3705.0,47952
3064.375,49125
2685.0,46281
1755.0,40816
4568.5,46297
5762.5,47989
1257.5,49103
1507.5,49128
1257.5,49079
1505.0,43937
1050.0,40797
6444.0,45958
5928.75,45976
5828.0,43845
7065.25,46314
2800.0,46348
7451.0,46383
3940.0,46384
12137.5,46146
12220.0,46166
5875.0,46355
26277.625,43838
2573.75,46271
5087.5,46161
8421.875,46282
3644.25,43210
4609.5,49085
5280.0,46382
4933.75,46286
2770.0,43726
4738.75,44016
3972.0,48024
2872.25,43204
1622.0,43475
4339.0,48072
2970.0,49054
26043.75,46221
1650.0,49074
14127.5,46264
6020.875,44011
6833.375,49693
5791.25,48091
3107.5,50711
6200.0,49983
8420.5,49147
2230.625,43778
9472.0,46238
25175.875,46200
6876.5,47867
3753.75,43481
14677.5,43682
6012.125,49984
4205.5,47957
18838.75,48011
4963.75,48105
21172.5,48033
10480.0,48085
5770.0,43697
11102.5,49034
2025.0,48877
3362.5,47943
1755.0,47908
9635.0,49985
7642.5,49715
3650.0,48057
6949.5,47985
8635.0,40672
4162.5,48106
4389.875,40257
24335.375,46204
25830.75,46199
1200.0,46114
4445.0,49986
16612.5,49988
18543.125,49990
10450.0,49991
10425.0,48089
7433.0,47995
6174.0,43779
4652.5,49688
6420.75,49115
3601.0,50554
24988.0,46186
4455.0,43866
3390.25,49780
4931.25,49017
4432.0,49016
1946.0,47924
4160.0,51519
1158.0,49108
3187.75,40900
3708.0,43212
3295.0,43151
5269.5,46326
3554.0,43471
3180.625,46373
1711.5,43571
2460.0,49686
4311.0,45737
4262.5,46043
7723.5,45726
2070.0,46121
3261.0,46054
2092.5,46064
988.5,46035
4607.625,49804
6017.5,43876
14627.5,43945
3414.0,43215
5271.75,46295
1597.75,43479
1795.0,47902
1200.0,40272
4887.375,43831
2686.0,49135
4800.0,48902
1812.0,47888
2698.25,43160
21597.5,49018
28195.0,46148
1680.0,45930
2280.0,47740
960.0,45904
3093.75,43186
1378.0,48868
1372.0,47672
1100.0,45984
1711.0,49776
2130.0,46105
5171.25,43667
4732.0,48892
9781.875,46262
8772.0,49093
2533.5,40043
2050.0,46104
3554.0,47886
13280.0,43872
15303.125,48012
2850.0,45909
1668.75,46356
3295.0,40384
3483.0,47654
1445.0,46109
9304.5,49793
2795.0,48097
4700.5,47991
2363.75,49077
7233.75,49798
13936.0,50513
1593.5,43360
1990.0,40000
5826.0,48978
2737.5,43162
840.0,45905
1430.0,45862
1670.0,46078
9302.5,43700
4555.0,49992
5081.25,46257
28652.625,43969
2412.5,46266
3802.5,48056
2246.875,49065
4640.0,45679
15710.625,43914
6445.0,40332
2932.0,48019
2460.0,46345
3646.0,46389
9466.75,45771
1560.5,43472
3623.25,43219
13480.0,40823
3175.0,40233
2062.5,51499
1837.5,40294
16875.0,48111
2912.5,40236
3374.0,49696
1544.0,46062
8535.625,46235
5075.0,47895
5610.0,43702
1250.0,46349
2317.5,40039
6686.5,46222
3940.0,43663
5069.125,49117
17730.625,43957
3687.125,47962
4499.25,43806
3539.75,49011
3072.5,49055
900.0,40270
4207.5,45979
8602.5,48094
2387.75,45637
3686.25,43216
1300.0,46122
1775.0,46101
3118.5,49783
5642.5,49838
4896.375,49993
3442.5,47658
5400.0,45936
4274.875,49861
6585.0,49857
1912.5,49146
11910.0,40001
9516.25,48015
4848.0,47958
5879.5,48074
23208.75,46164
6839.375,46299
3223.375,49114
1437.5,49144
1833.0,49006
4412.125,47936
4093.75,49094
2252.5,49086
4555.0,48108
7278.75,46357
3425.0,46023
2205.0,46092
1335.0,51506
4435.0,46370
30035.0,50402
20368.75,45752
4720.75,48062
2467.5,40002
8075.75,43874
3604.5,49119
5912.5,49109
10240.0,43703
4623.0,46284
3474.75,43217
2633.25,47864
6380.0,46239
10360.0,46196
11432.0,46325
4304.375,47961
6920.0,49689
18705.0,43812
5902.5,48017
3512.0,49102
1916.25,49126
2111.25,47917
1585.0,47832
5616.25,46334
1508.25,43489
1450.0,46098
2651.5,47907
2126.0,48966
1780.0,50581
1807.5,48979
6018.75,48039
7190.0,46253
3640.0,49956
2577.75,43190
9259.5,46273
3333.5,46302
3400.0,49092
6460.0,48083
4490.0,48071
8212.0,49120
6678.875,43972
4020.0,43713
4001.375,47956
3534.0,47744
1622.0,47674
18035.875,49021
1271.75,40630
24711.25,46189
19636.25,49030
2333.25,50552
1924.0,49822
7153.75,46275
5434.875,46350
9051.25,49082
1677.0,43623
3692.375,40409
4331.625,46212
2700.0,49788
4143.875,43951
3317.75,49143
3197.5,49041
10152.0,47993
6420.75,46276
7168.5,48047
2026.5,40025
4435.0,48090
1631.0,43243
3430.25,40814
4102.5,43500
2793.75,43157
1585.0,47933
1144.0,47675
1712.0,43342
1885.5,43557
2598.0,43245
2805.75,49722
2610.75,43209
3532.0,49957
2960.0,47676
2889.75,43181
1206.0,43312
1910.0,45899
950.0,45946
2420.0,45917
1275.0,43291
1504.0,47766
1760.0,45856
1530.0,40003
520.0,48888
2360.0,48891
1800.0,45779
1100.0,45784
2176.5,46026
1593.5,43325
3551.0,47650
1700.0,45900
1324.0,43600
3552.0,49958
2659.75,43196
2018.0,47679
2050.0,48881
1984.0,47678
1822.0,46024
2295.0,45885
3724.0,49959
4096.0,46083
1629.0,43649
1650.0,46076
3502.5,49846
1794.75,49124
2387.75,49853
5803.75,44020
1850.0,40790
12487.5,43977
15508.75,46201
1462.5,52412
4635.0,47909
3131.0,46328
6597.5,43788
1307.5,50504
2505.0,47680
1960.25,40004
2325.0,49730
940.0,45916
14730.0,49800
7161.625,48027
8850.0,49799
12134.0,43978
2205.0,48923
19959.75,43934
19705.0,49142
4700.0,49881
7305.0,47849
8186.25,48924
10523.5,48035
9957.5,48036
3011.75,49009
2072.5,50571
2456.25,50312
2353.75,47938
2400.0,49994
18549.5,46185
18549.5,46170
2442.0,43580
4336.5,46305
14947.5,43979
10042.5,48060
4512.5,45994
2814.0,48982
1813.25,40037
5406.25,49096
3786.0,49088
3372.375,43207
8272.5,48967
700.0,48104
2092.0,47656
4811.0,49067
7588.875,46332
1462.5,48915
1887.5,43805
6825.0,50561
16285.875,43839
4725.0,45712
3825.0,49698
2062.5,45906
17955.0,46188
3885.0,47960
5768.75,49844
4829.0,48055
4387.5,46306
6141.5,49068
16141.375,46202
14152.5,43844
24798.75,40367
2770.0,46123
2868.0,48991
4008.0,50502
22087.5,46136
6562.5,43900
2095.5,43577
3252.75,48959
6435.0,49091
5188.5,40721
5546.25,46380
2850.0,50409
1965.5,40006
4148.75,40031
11581.25,40007
27290.0,46150
4270.5,40708
4016.25,40032
1140.0,48986
5119.75,46315
6335.5,43781
6325.0,46313
4596.25,49113
4072.5,47968
1798.0,48962
5401.25,45638
13306.25,49699
8325.0,47870
18755.625,43657
20666.25,45810
5827.0,48929
18892.5,43690
10332.5,43763
6453.75,47871
19750.0,46179
1605.0,49870
5526.0,46053
3069.125,43153
3244.0,48981
1150.0,46025
12062.5,46223
4216.5,50390
3840.0,43948
23457.25,44010
1995.0,40232
3189.5,43266
2037.75,51501
1280.0,47646
4405.0,46002
2352.375,43936
12061.25,43949
2369.25,48109
5291.875,43820
7078.0,43847
5665.625,44013
2472.5,43980
4196.875,49137
1905.875,48999
2266.5,43830
3612.5,46304
6837.0,46226
9532.5,45874
2480.0,49056
1330.0,49101
2491.25,43629
1417.5,45700
2313.75,46008
1745.0,45963
1795.0,47647
8910.0,47856
3567.875,50698
6309.25,40333
3331.25,43497
2687.5,40252
1718.0,43501
4342.5,45875
1383.5,43693
2649.0,43507
1631.0,43338
2970.75,43191
3313.75,47666
1908.75,48994
4045.5,46081
6450.0,49713
2800.0,47869
2838.0,48896
4163.25,46117
3286.0,47889
1644.0,47745
18039.375,43859
1956.0,48993
6738.75,45970
1896.0,47682
4764.0,49000
2280.0,47767
1277.0,43621
4911.0,43268
11961.5,48005
1611.0,48997
5253.75,48912
5700.0,45996
1320.0,43147
4998.75,43898
1631.0,48963
26873.5,46157
28162.5,46137
8264.125,46230
18602.5,46195
18602.5,46184
7560.0,48936
12788.75,49702
2860.5,43269
2186.625,48958
2447.5,45745
6446.0,49961
23267.5,43913
21978.375,49019
