acara_sml_id,school_name,school_sector,school_type,school_url,year_range,icsea,icsea_percentile,bottom_sea_quarter,lower_middle_sea_quarter,upper_middle_sea_quarter,top_sea_quarter,teaching_staff,full_time_equivalent_teaching_staff,non_teaching_staff,full_time_equivalent_non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments,full_time_equivalent_enrolments,indigenous_enrolments,language_background_other_than_english_yes,language_background_other_than_english_no,language_background_other_than_english_not_stated,latitude,longitude,lga_code
40000,Corpus Christi Catholic School,Catholic,Primary,http://www.corpuschristi.tas.edu.au,Prep-6,1063.0,74.0,9.0,31.0,31.0,28.0,30.0,23.6,19.0,12.6,408.0,173.0,235.0,407.6,2.0,7.0,93.0,0.0,-42.871256,147.371473,61410
40001,Fahan School,Independent,Combined,http://www.fahan.tas.edu.au,Prep-12,1136.0,93.0,2.0,11.0,28.0,60.0,42.0,38.1,29.0,20.4,388.0,388.0,0.0,388.0,2.0,13.0,87.0,0.0,-42.91615827,147.35276438,62810
40002,Geneva Christian College,Independent,Combined,http://www.geneva.tas.edu.au,Prep-12,1004.0,48.0,28.0,33.0,27.0,12.0,29.0,19.7,49.0,29.1,280.0,134.0,146.0,279.9,6.0,4.0,96.0,0.0,-41.226741,146.438726,63810
40003,Holy Rosary Catholic School,Catholic,Primary,http://www.holyrosary.tas.edu.au,Prep-6,1000.0,46.0,29.0,40.0,24.0,8.0,28.0,24.4,20.0,11.9,388.0,189.0,199.0,388.0,4.0,4.0,96.0,0.0,-42.789375,147.248306,62610
40004,Immaculate Heart of Mary Catholic School,Catholic,Primary,http://www.ihms.tas.edu.au,Prep-6,1007.0,50.0,28.0,30.0,24.0,18.0,18.0,12.4,15.0,8.7,200.0,107.0,93.0,200.0,9.0,16.0,84.0,0.0,-42.865543,147.290159,62810
40005,John Calvin School,Independent,Combined,http://www.jcs.tas.edu.au,Prep-10,1074.0,78.0,9.0,27.0,33.0,31.0,12.0,9.6,9.0,3.9,109.0,48.0,61.0,109.0,0.0,0.0,100.0,0.0,-41.447919,147.144799,64010
40006,Larmenier Catholic School,Catholic,Primary,https://www.larmenier.tas.edu.au/,Prep-6,1015.0,54.0,20.0,38.0,30.0,11.0,14.0,11.3,15.0,7.8,181.0,92.0,89.0,181.0,6.0,7.0,93.0,0.0,-41.460784,147.194752,64010
40007,Launceston Church Grammar School,Independent,Combined,http://www.lcgs.tas.edu.au,Prep-12,1100.0,85.0,6.0,19.0,31.0,45.0,96.0,78.4,92.0,48.2,771.0,376.0,395.0,771.0,3.0,9.0,68.0,23.0,-41.408156,147.128813,64010
40008,St James Catholic College,Catholic,Combined,http://www.sjcc.tas.edu.au,Prep-10,892.0,8.0,59.0,28.0,9.0,3.0,32.0,25.9,22.0,12.9,270.0,136.0,134.0,268.8,40.0,1.0,99.0,0.0,-43.161812,147.075798,63010
40009,Our Lady of Lourdes Catholic School,Catholic,Primary,http://www.ololshills.catholic.edu.au/,Prep-6,1019.0,56.0,23.0,30.0,28.0,20.0,27.0,21.8,27.0,15.5,399.0,187.0,212.0,398.0,10.0,7.0,93.0,0.0,-41.18021,146.355196,61610
40010,Our Lady of Mercy Catholic School,Catholic,Primary,http://www.olom.tas.edu.au,Prep-6,990.0,41.0,33.0,30.0,28.0,10.0,13.0,8.4,12.0,5.3,88.0,45.0,43.0,88.0,9.0,4.0,96.0,0.0,-41.525172,146.64995,64210
40011,Sacred Heart Catholic School,Catholic,Primary,http://www.shu.tas.edu.au,Prep-6,1005.0,49.0,25.0,34.0,24.0,17.0,17.0,14.0,19.0,11.7,217.0,101.0,116.0,217.0,12.0,0.0,100.0,0.0,-41.155798,146.186851,60810
40012,Sacred Heart Catholic School,Catholic,Primary,http://www.shg.tas.edu.au,Prep-6,950.0,23.0,38.0,30.0,20.0,11.0,15.0,11.2,21.0,11.2,148.0,81.0,67.0,147.8,29.0,5.0,95.0,0.0,-43.165474,146.943967,63010
40014,St Anthony's Catholic School,Catholic,Primary,http://www.stanthonys.tas.edu.au,Prep-6,1020.0,56.0,19.0,35.0,29.0,17.0,15.0,11.2,10.0,6.0,152.0,66.0,86.0,151.8,5.0,6.0,94.0,0.0,-41.4062,147.095,65810
40015,St Peter Chanel Catholic School,Catholic,Primary,http://stpeterchanel.tas.edu.au,Prep-6,875.0,6.0,59.0,31.0,10.0,0.0,12.0,9.9,19.0,10.3,128.0,61.0,67.0,128.0,46.0,1.0,99.0,0.0,-40.845638,145.131883,61210
40016,St Brigid's Catholic School,Catholic,Primary,http://www.stbrigidsnn.tas.edu.au,Prep-6,963.0,28.0,46.0,30.0,16.0,8.0,15.0,13.0,15.0,9.1,193.0,84.0,109.0,193.0,14.0,2.0,98.0,0.0,-42.78063,147.056171,61510
40017,St Brigid's Catholic School,Catholic,Primary,http://www.sbw.tas.edu.au,Prep-6,954.0,25.0,40.0,33.0,19.0,8.0,16.0,11.6,15.0,8.7,148.0,71.0,77.0,148.0,25.0,0.0,100.0,0.0,-40.988286,145.726855,65410
40018,St Cuthbert's Catholic School,Catholic,Primary,http://www.stcuthberts.tas.edu.au,Prep-6,1033.0,63.0,20.0,32.0,28.0,20.0,21.0,14.8,21.0,10.5,216.0,94.0,122.0,216.0,5.0,9.0,91.0,0.0,-42.843192,147.355348,61410
40019,St John's Catholic School,Catholic,Primary,http://www.stjohns.tas.edu.au,Prep-6,1017.0,55.0,23.0,36.0,27.0,14.0,22.0,18.8,19.0,12.0,289.0,132.0,157.0,289.0,4.0,0.0,100.0,0.0,-42.733415,147.441563,61410
40020,St Joseph's Catholic School,Catholic,Primary,http://www.stjosephsr.tas.edu.au,Prep-6,945.0,22.0,56.0,30.0,11.0,4.0,12.0,8.1,8.0,3.6,40.0,15.0,25.0,40.0,3.0,4.0,96.0,0.0,-41.780321,145.543953,65610
40021,St Joseph's Catholic School,Catholic,Primary,http://www.stjosephsq.tas.edu.au,Prep-6,953.0,24.0,46.0,34.0,13.0,7.0,12.0,10.2,9.0,4.9,93.0,41.0,52.0,93.0,10.0,1.0,99.0,0.0,-42.081342,145.559515,65610
40022,St Mary's College,Catholic,Combined,http://www.smc.tas.edu.au,Prep-12,1060.0,73.0,11.0,29.0,33.0,28.0,91.0,70.0,61.0,44.8,900.0,845.0,55.0,898.6,3.0,10.0,90.0,0.0,-42.881808,147.319687,62810
40023,St Patrick's Catholic School,Catholic,Primary,http://www.stpatslatrobe.tas.edu.au,Prep-6,1012.0,52.0,29.0,32.0,22.0,16.0,16.0,11.4,13.0,5.5,177.0,79.0,98.0,176.6,5.0,5.0,95.0,0.0,-41.235575,146.418418,63810
40024,St Therese's Catholic School,Catholic,Primary,http://www.sttherese.tas.edu.au,Prep-6,1012.0,53.0,26.0,35.0,28.0,11.0,17.0,12.3,14.0,8.1,203.0,108.0,95.0,203.0,5.0,6.0,94.0,0.0,-42.846795,147.290228,62610
