acara_sml_id,suburb,state,postcode,lga_code
40000,Bellerive,TAS,7018,61410
40001,Sandy Bay,TAS,7005,62810
40002,Latrobe,TAS,7307,63810
40003,Claremont,TAS,7011,62610
40004,Lenah Valley,TAS,7008,62810
40005,Launceston,TAS,7250,64010
40006,St Leonards,TAS,7250,64010
40007,Mowbray,TAS,7248,64010
40008,Cygnet,TAS,7112,63010
40009,Devonport,TAS,7310,61610
40010,Deloraine,TAS,7304,64210
40011,Ulverstone,TAS,7315,60810
40012,Geeveston,TAS,7116,63010
40014,Riverside,TAS,7250,65810
40015,Smithton,TAS,7330,61210
40016,New Norfolk,TAS,7140,61510
40017,Wynyard,TAS,7325,65410
40018,Lindisfarne,TAS,7015,61410
40019,Richmond,TAS,7025,61410
40020,Rosebery,TAS,7470,65610
40021,Queenstown,TAS,7467,65610
40022,Hobart,TAS,7000,62810
40023,Latrobe,TAS,7307,63810
40024,Moonah,TAS,7009,62610
40025,West Moonah,TAS,7009,62610
40026,George Town,TAS,7253,62210
40027,Burnie,TAS,7320,60610
40028,North Hobart,TAS,7000,62810
40029,Sandy Bay,TAS,7005,62810
40030,Bellerive,TAS,7018,61410
40031,Riverside,TAS,7250,65810
40032,Ulverstone,TAS,7315,60810
40033,Penguin,TAS,7316,60810
40035,Hobart,TAS,7000,62810
40036,Newstead,TAS,7250,64010
40037,Clarendon Vale,TAS,7019,61410
40038,Launceston,TAS,7250,64010
40039,Warrane,TAS,7018,61410
40041,Newstead,TAS,7250,64010
40042,Bridgewater,TAS,7030,60410
40043,Smithton,TAS,7330,61210
40044,Kingston,TAS,7050,63610
40045,Rocherlea,TAS,7248,64010
40046,Whitemark,TAS,7255,62010
40047,Lilydale,TAS,7268,64010
40048,Ravenswood,TAS,7250,64010
40049,Scottsdale,TAS,7260,61810
40050,Romaine,TAS,7320,60610
40051,Devonport,TAS,7310,61610
40052,Ulverstone,TAS,7315,60810
40053,Wynyard,TAS,7325,65410
40054,Glenorchy,TAS,7010,62610
40056,Dover,TAS,7117,63010
40057,Geeveston,TAS,7116,63010
40058,Huonville,TAS,7109,63010
40059,Rokeby,TAS,7019,61410
40060,Bothwell,TAS,7030,61010
40061,Deloraine,TAS,7304,64210
40062,Glenora,TAS,7140,61510
40063,New Norfolk,TAS,7140,61510
40064,Oatlands,TAS,7120,65010
40065,Ouse,TAS,7140,61010
40066,Rosebery,TAS,7470,65610
40067,St Helens,TAS,7216,60210
40068,St Marys,TAS,7215,60210
40069,Triabunna,TAS,7190,62410
40070,Cooee,TAS,7320,60610
40071,Campbell Town,TAS,7210,64610
40072,Cressy,TAS,7302,64610
40073,Dunalley,TAS,7177,64810
40074,Exeter,TAS,7275,65810
40075,Currie,TAS,7256,63410
40076,Kingston,TAS,7050,63610
40077,Kings Meadows,TAS,7249,64010
40078,New Town,TAS,7008,62810
40080,Prospect,TAS,7250,64010
40081,Riverside,TAS,7250,65810
40082,Smithton,TAS,7330,61210
40083,Sorell,TAS,7172,64810
40084,Taroona,TAS,7053,63610
40085,Nubeena,TAS,7184,65210
40086,Winnaleah,TAS,7265,61810
40087,Woodbridge,TAS,7162,63610
40088,Yolla,TAS,7325,65410
40090,Miandetta,TAS,7310,60610
40092,Invermay,TAS,7248,64010
40093,Mowbray,TAS,7248,64010
40096,Rose Bay,TAS,7015,61410
40097,Norwood,TAS,7250,64010
40098,Devonport,TAS,7310,61610
40099,Launceston,TAS,7250,64010
40100,Battery Point,TAS,7004,62810
40101,North Hobart,TAS,7000,62810
40102,West Hobart,TAS,7000,62810
40103,West Hobart,TAS,7000,62810
40104,Mount Stuart,TAS,7000,62810
40105,South Hobart,TAS,7004,62810
40106,Sandy Bay,TAS,7005,62810
40107,Sandy Bay,TAS,7005,62810
40108,Taroona,TAS,7053,63610
40109,Mount Nelson,TAS,7007,62810
40110,Lenah Valley,TAS,7008,62810
40111,New Town,TAS,7008,62810
40112,New Town,TAS,7008,62810
40113,Moonah,TAS,7009,62610
40114,Derwent Park,TAS,7009,62610
40115,Derwent Park,TAS,7009,62610
40116,West Moonah,TAS,7009,62610
40119,Rosetta,TAS,7010,62610
40123,Collinsvale,TAS,7012,62610
40125,Geilston Bay,TAS,7015,61410
40126,Lindisfarne,TAS,7015,61410
40127,Risdon Vale,TAS,7016,61410
40128,Bellerive,TAS,7018,61410
40129,Bellerive,TAS,7018,61410
40130,Howrah,TAS,7018,61410
40131,Montagu Bay,TAS,7018,61410
40132,Warrane,TAS,7018,61410
40133,Clarendon Vale,TAS,7019,61410
40134,Rokeby,TAS,7019,61410
40135,Lauderdale,TAS,7021,61410
40136,South Arm,TAS,7022,61410
40137,Richmond,TAS,7025,61410
40138,Campania,TAS,7026,65010
40139,Glen Huon,TAS,7109,63010
40140,Huonville,TAS,7109,63010
40141,Cygnet,TAS,7112,63010
40142,Franklin,TAS,7113,63010
40143,Kingston,TAS,7050,63610
40144,Blackmans Bay,TAS,7052,63610
40145,Margate,TAS,7054,63610
40146,Snug,TAS,7054,63610
40147,Alonnah,TAS,7150,63610
40148,Cambridge,TAS,7170,61410
40150,Evandale,TAS,7212,64610
40153,Bicheno,TAS,7215,62410
40154,East Launceston,TAS,7250,64010
40155,South Launceston,TAS,7249,64010
40156,Norwood,TAS,7250,64010
40157,Newstead,TAS,7250,64010
40158,Riverside,TAS,7250,65810
40159,St Leonards,TAS,7250,64010
40160,Summerhill,TAS,7250,64010
40161,Trevallyn,TAS,7250,64010
40162,Waverley,TAS,7250,64010
40163,West Launceston,TAS,7250,64010
40164,Youngtown,TAS,7249,64010
40165,George Town,TAS,7253,62210
40166,George Town,TAS,7253,62210
40167,Bridport,TAS,7262,61810
40168,Ringarooma,TAS,7263,61810
40169,Scottsdale,TAS,7260,61810
40170,Hagley,TAS,7292,64210
40171,Orford,TAS,7190,62410
40172,Swansea,TAS,7190,62410
40173,Bracknell,TAS,7302,64210
40174,Perth,TAS,7300,64610
40175,Longford,TAS,7301,64610
40176,Westbury,TAS,7303,64210
40177,Deloraine,TAS,7304,64210
40179,Mole Creek,TAS,7304,64210
40180,Latrobe,TAS,7307,63810
40182,Sheffield,TAS,7306,63210
40183,Latrobe,TAS,7307,63810
40185,Sassafras,TAS,7307,63810
40187,Devonport,TAS,7310,61610
40188,East Devonport,TAS,7310,61610
40189,Forth,TAS,7310,60810
40190,Devonport,TAS,7310,61610
40191,Miandetta,TAS,7310,61610
40192,Devonport,TAS,7310,61610
40193,Spreyton,TAS,7310,61610
40194,Wilmot,TAS,7310,63210
40195,Ulverstone,TAS,7315,60810
40196,Sprent,TAS,7315,60810
40197,Ulverstone,TAS,7315,60810
40198,West Ulverstone,TAS,7315,60810
40200,Riana,TAS,7316,60810
40203,Park Grove,TAS,7320,60610
40204,Cooee,TAS,7320,60610
40205,Montello,TAS,7320,60610
40207,Boat Harbour,TAS,7321,65410
40208,Havenview,TAS,7320,60610
40209,Natone,TAS,7321,60610
40210,Ridgley,TAS,7321,60610
40211,Wynyard,TAS,7325,65410
40212,Edith Creek,TAS,7330,61210
40213,Forest,TAS,7330,61210
40214,Redpa,TAS,7330,61210
40215,Smithton,TAS,7330,61210
40216,Stanley,TAS,7331,61210
40220,Brighton,TAS,7030,60410
40221,Bagdad,TAS,7030,65010
40222,Kempton,TAS,7030,65010
40223,New Norfolk,TAS,7140,61510
40224,New Norfolk,TAS,7140,61510
40225,Molesworth,TAS,7140,61510
40226,Westerway,TAS,7140,61510
40228,Strahan,TAS,7468,65610
40229,Zeehan,TAS,7469,65610
40230,Huntingfield,TAS,7055,63610
40231,Somerset,TAS,7322,65410
40232,Mornington,TAS,7018,61410
40233,Don,TAS,7310,61610
40234,Invermay,TAS,7248,64010
40235,Deloraine,TAS,7304,64210
40236,Glenorchy,TAS,7010,62610
40237,Sandy Bay,TAS,7005,62810
40238,New Town,TAS,7008,62810
40239,Dodges Ferry,TAS,7173,64810
40240,Exeter,TAS,7275,65810
40241,Blackmans Bay,TAS,7052,63610
40242,Claremont,TAS,7011,64010
40243,Beaconsfield,TAS,7270,65810
40244,Newstead,TAS,7250,64010
40245,Austins Ferry,TAS,7011,62610
40247,Nicholls Rivulet,TAS,7112,63010
40249,Queenstown,TAS,7467,65610
40250,Devonport,TAS,7310,61610
40251,Prospect Vale,TAS,7250,64010
40252,Burnie,TAS,7320,60610
40254,Cape Barren Island,TAS,7257,62010
40255,Howrah,TAS,7018,61410
40257,Kingston,TAS,7050,63610
40259,Fullarton,SA,5063,47980
40260,Ravenswood,TAS,7250,64010
40269,Newnham,TAS,7248,64010
40270,Rokeby,TAS,7019,61410
40271,Bridgewater,TAS,7030,60410
40272,Margate,TAS,7054,63610
40273,Geilston Bay,TAS,7015,61410
40275,Jindera,NSW,2642,13340
40276,Rockdale,NSW,2216,10500
40277,Wagga Wagga,NSW,2650,17750
40281,Park Ridge,QLD,4125,34590
40284,Darkan,WA,6392,58890
40290,Coolbinia,WA,6050,57910
40294,Yangebup,WA,6164,51820
40299,Port Neill,SA,5604,47910
40309,Torrensville,SA,5031,48410
40318,Marion,SA,5043,44060
