acara_sml_id,calendar_year,icsea_percentile,language_background_other_than_english_yes,language_background_other_than_english_no,language_background_other_than_english_not_stated,total_enrolments
40000,2008,75.0,3.0,89.0,8.0,410.0
40000,2009,75.0,3.0,78.0,19.0,409.0
40000,2010,70.0,3.0,81.0,16.0,392.0
40000,2011,71.0,3.0,97.0,0.0,385.0
40000,2012,69.0,3.0,96.0,1.0,391.0
40000,2013,76.0,4.0,95.0,1.0,388.0
40000,2014,80.0,2.0,98.0,0.0,387.0
40000,2015,80.0,2.0,98.0,0.0,395.0
40000,2016,75.0,1.0,99.0,0.0,398.0
40000,2017,75.0,1.0,99.0,0.0,399.0
40000,2018,81.0,3.0,97.0,0.0,380.0
40000,2019,74.0,5.0,95.0,0.0,395.0
40000,2020,73.0,6.0,94.0,0.0,398.0
40000,2021,74.0,7.0,93.0,0.0,408.0
40001,2008,92.0,1.0,60.0,39.0,347.0
40001,2009,92.0,2.0,65.0,33.0,333.0
40001,2010,94.0,3.0,82.0,15.0,335.0
40001,2011,91.0,3.0,95.0,1.0,337.0
40001,2012,91.0,4.0,96.0,0.0,331.0
40001,2013,94.0,5.0,94.0,1.0,337.0
40001,2014,92.0,5.0,93.0,2.0,348.0
40001,2015,93.0,7.0,90.0,3.0,365.0
40001,2016,89.0,7.0,91.0,2.0,370.0
40001,2017,92.0,7.0,92.0,1.0,372.0
40001,2018,93.0,7.0,92.0,1.0,390.0
40001,2019,94.0,10.0,90.0,0.0,404.0
40001,2020,93.0,12.0,88.0,0.0,403.0
40001,2021,93.0,13.0,87.0,0.0,388.0
40002,2008,53.0,0.0,96.0,4.0,76.0
40002,2009,53.0,0.0,95.0,5.0,72.0
40002,2010,27.0,0.0,94.0,6.0,87.0
40002,2011,31.0,0.0,95.0,5.0,92.0
40002,2012,24.0,0.0,93.0,7.0,114.0
40002,2013,19.0,0.0,96.0,4.0,134.0
40002,2014,21.0,4.0,95.0,1.0,151.0
40002,2015,16.0,3.0,93.0,3.0,164.0
40002,2016,24.0,0.0,98.0,2.0,172.0
40002,2017,32.0,4.0,96.0,0.0,194.0
40002,2018,36.0,5.0,95.0,0.0,208.0
40002,2019,44.0,3.0,96.0,1.0,235.0
40002,2020,44.0,3.0,96.0,1.0,257.0
40002,2021,48.0,4.0,96.0,0.0,280.0
40003,2008,22.0,0.0,100.0,0.0,329.0
40003,2009,22.0,2.0,96.0,2.0,348.0
40003,2010,36.0,2.0,96.0,2.0,354.0
40003,2011,40.0,2.0,98.0,1.0,372.0
40003,2012,37.0,1.0,98.0,0.0,383.0
40003,2013,43.0,0.0,100.0,0.0,380.0
40003,2014,39.0,1.0,99.0,0.0,384.0
40003,2015,44.0,1.0,99.0,0.0,391.0
40003,2016,41.0,1.0,99.0,0.0,392.0
40003,2017,41.0,1.0,99.0,0.0,397.0
40003,2018,39.0,1.0,99.0,0.0,399.0
40003,2019,45.0,1.0,97.0,2.0,392.0
40003,2020,46.0,3.0,97.0,0.0,390.0
40003,2021,46.0,4.0,96.0,0.0,388.0
40004,2008,55.0,4.0,60.0,35.0,168.0
40004,2009,55.0,4.0,48.0,47.0,170.0
40004,2010,47.0,58.0,15.0,27.0,186.0
40004,2011,36.0,57.0,35.0,7.0,178.0
40004,2012,44.0,10.0,82.0,8.0,190.0
40004,2013,56.0,11.0,88.0,1.0,175.0
40004,2014,71.0,9.0,91.0,0.0,152.0
40004,2015,62.0,9.0,91.0,0.0,158.0
40004,2016,59.0,11.0,89.0,0.0,169.0
40004,2017,50.0,16.0,84.0,0.0,189.0
40004,2018,55.0,15.0,85.0,0.0,200.0
40004,2019,43.0,14.0,84.0,2.0,202.0
40004,2020,49.0,15.0,85.0,0.0,202.0
40004,2021,50.0,16.0,84.0,0.0,200.0
40005,2008,71.0,0.0,100.0,0.0,61.0
40005,2009,71.0,0.0,100.0,0.0,61.0
40005,2010,63.0,0.0,100.0,0.0,62.0
40005,2011,63.0,0.0,100.0,0.0,64.0
40005,2012,65.0,0.0,98.0,2.0,69.0
40005,2013,61.0,0.0,98.0,2.0,73.0
40005,2014,64.0,0.0,100.0,0.0,72.0
40005,2015,65.0,0.0,98.0,2.0,78.0
40005,2016,65.0,0.0,98.0,2.0,102.0
40005,2017,71.0,0.0,100.0,0.0,100.0
40005,2018,72.0,1.0,97.0,1.0,108.0
40005,2019,72.0,1.0,97.0,1.0,105.0
40005,2020,78.0,0.0,100.0,0.0,107.0
40005,2021,78.0,0.0,100.0,0.0,109.0
40006,2008,59.0,0.0,0.0,100.0,192.0
40006,2009,59.0,0.0,49.0,51.0,185.0
40006,2010,48.0,1.0,96.0,3.0,184.0
40006,2011,46.0,1.0,97.0,2.0,182.0
40006,2012,52.0,1.0,97.0,2.0,181.0
40006,2013,40.0,2.0,97.0,1.0,178.0
40006,2014,53.0,2.0,98.0,0.0,182.0
40006,2015,49.0,1.0,99.0,0.0,174.0
40006,2016,45.0,1.0,99.0,0.0,171.0
40006,2017,50.0,2.0,98.0,0.0,172.0
40006,2018,40.0,3.0,97.0,0.0,192.0
40006,2019,48.0,4.0,95.0,1.0,189.0
40006,2020,50.0,5.0,95.0,0.0,188.0
40006,2021,54.0,7.0,93.0,0.0,181.0
40007,2008,77.0,5.0,78.0,17.0,818.0
40007,2009,77.0,7.0,84.0,9.0,798.0
40007,2010,85.0,9.0,87.0,4.0,754.0
40007,2011,86.0,8.0,88.0,4.0,741.0
40007,2012,87.0,8.0,91.0,0.0,720.0
40007,2013,88.0,8.0,91.0,1.0,706.0
40007,2014,90.0,8.0,90.0,2.0,697.0
40007,2015,88.0,7.0,91.0,2.0,691.0
40007,2016,88.0,7.0,91.0,2.0,721.0
40007,2017,87.0,7.0,92.0,1.0,743.0
40007,2018,89.0,7.0,92.0,1.0,757.0
40007,2019,85.0,8.0,86.0,5.0,753.0
